grant_id,recipient,amount,agency,description,is_biotech,biotech_strategies,materials,topics
DESC0026226,WYONICS LLC,156852.0,,RECOVERY AND SELECTIVE ELECTROCHEMICAL SEPARATION OF RARE EARTH ELEMENTS,False,,rare_earth,extraction;separation_purification
DESC0026218,THE PENNSYLVANIA STATE UNIVERSITY,636000.0,,CONFORMATIONAL DYNAMICS IN DISCRIMINATION OF RARE EARTHS BY LANMODULINS AND THEIR DERIVATIVES,True,protein_based,rare_earth,
DESC0026210,TRUSTEES OF DARTMOUTH COLLEGE,901161.8,,MAGNETIC PROPERTIES OF COBALT-BEARING MINERALS,False,,cobalt,
DESC0026161,NEW MEXICO INSTITUTE OF MINING AND TECHNOLOGY,2500000.0,,REE FRACTIONATION THROUGH COUPLED HYDROTHERMAL REE-CL/SO4/CO3 LIGAND COMPLEXATION AND MINERAL ADSORPTION/SOLID SOLUTION INTERACTION MECHANISMS,False,,rare_earth,fundamental_science;geochemistry
DESC0026084,CORNELL UNIVERSITY,875000.0,,LEVERAGING COOPERATIVE COMPLEXATION IN HELICAL LADDER POLYMERS FOR RARE EARTH ELEMENT SEPARATION,False,,rare_earth,separation_purification
DESC0026025,THE TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK,264000.0,,PROBING CHELATION EFFECTS ON PROTEIN-BASED RARE EARTH ELEMENT SEPARATIONS,False,,rare_earth,separation_purification
DESC0025792,"UNIVERSITY OF CALIFORNIA, SANTA BARBARA",563319.06,,LEVERAGING MACROCYCLIC CHELATORS FOR RARE EARTH ELEMENT SEPARATIONS,False,,rare_earth,separation_purification
DESC0025607,CASE WESTERN RESERVE UNIVERSITY,875000.0,,WASTED SPACE?: VISUALIZING RARE EARTH ELEMENT LIGAND AND ANALYTE ACCESS WITHIN POROUS MATERIALS,False,,rare_earth,characterization
DESC0025320,STEL CONTROLS LLC,199927.0,,CONCENTRATED SOLAR THERMAL DRYING FOR MINED MINERALS,False,,general_mineral,
DESC0025289,ILLINOIS INSTITUTE OF TECHNOLOGY,450000.0,,EXPLORING THE FEASIBILITY OF AQUA-MINING FOR RECOVERY OF CRITICAL METALS USING COMPUTATIONAL MOLECULAR MODELING,False,,critical_minerals,extraction;exploration;fundamental_science;modeling_simulation
DESC0025217,UNIVERSITY OF MISSOURI SYSTEM,660000.0,,EXTRACTION OF RARE EARTH ELEMENTS USING CHEMICALLY-ENHANCED ELECTRODIALYSIS (CEED),False,,rare_earth,extraction
DESC0025054,MICROBEAM TECHNOLOGIES INCORPORATED,249986.0,,SUBSURFACE CHARACTERIZATION OF CRITICAL MINERALS USING DOWN HOLE LOGGING EQUIPMENT,False,,critical_minerals,characterization
DESC0025053,"METROLASER, INCORPORATED",249921.0,,ROBUST SPLIT LASER SPECTROSCOPIC SENSOR FOR IN-SITU CHARACTERIZATION OF RARE EARTH ELEMENTS AND OTHER CRITICAL MINERALS IN MINING DEPOSITS,False,,rare_earth;critical_minerals,characterization
DESC0024741,"TRITON SYSTEMS, INC.",199971.0,,RARE EARTH AND CRITICAL ELEMENTS RECOVERY VIA SELECTIVE MEMBRANES: AI/ML-GUIDED MEMBRANE DEVELOPMENT,False,,rare_earth;critical_minerals,extraction
DESC0024500,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",540000.0,,RETICULAR MATERIALS AND DATA-DRIVEN COMPUTER SIMULATIONS FOR SEAWATER MINING OF VALUABLE METALS,False,,critical_minerals;battery_materials,modeling_simulation;materials_science
DESC0024392,BOISE STATE UNIVERSITY,888250.0,,UPTAKE MECHANISMS OF REE IN SEDIMENTARY PHOSPHORITE MINERAL SPONSOR: DEPARTMENT OF ENERGY,False,,rare_earth;phosphate,fundamental_science
DESC0024047,RESILIENCE ANALYTICS LLC,1299473.0,,MAPPING RISKS AND STRESS TESTING RESILIENCE IN CRITICAL MINERAL SUPPLY CHAINS,False,,critical_minerals,
