Award ID,category,env_subtype,Recipient Name,Award Amount,Start Date,CFDA Number,Description
99T99701,OTHER,,CORTINA INDIAN RANCHERIA,56555.0,2020-07-01,66.204,"THESE FUNDS SUPPORT THE FURTHER DEVELOPMENT AND ADMINISTRATION OF THE TRIBE'S WATER QUALITY STANDARDS AND CERTIFICATIONS PROGRAM. THE OBJECTIVE OF THIS PROGRAM IS TO FINALIZE TRIBE'S WATER QUALITY STANDARDS FOR EPA APPROVAL. THE TRIBE WILL ALSO PERFORM OUTREACH AND EDUCATION TO THE TRIBAL COMMUNITY ON THE PURPOSE AND IMPORTANCE OF DEVELOPING WATER QUALITY STANDARDS.   THIS ASSISTANCE AGREEMENT PROVIDES FULL FEDERAL FUNDING IN THE AMOUNT OF $28,500."
99T99201,ENV,ENV_NOHEALTH,DEPARTMENT OF CONSERVATION AND NATURAL RESOURCES,164004.0,2019-10-01,66.204,"THIS AGREEMENT PROVIDES MULTIPURPOSE GRANT FUNDING FOR THE FOLLOWING FOUR (4) HIGH PRIORITY ACTIVITIES, TO COMPLEMENT EXISTING ENVIRONMENTAL GRANT PROGRAMS: NEVADA PRIORITY WETLAND INVENTORY UPDATES, HOUSEHOLD MERCURY RECOVERY AND DISPOSAL EVENTS, EXPLORATION OF MICROPLASTICS IN LAKE TAHOE, AND ACQUISITION OF NONPOINT SOURCE EDUCATIONAL SUPPLIES AND OUTREACH SPEAKERS.  THIS AGREEMENT PROVIDES FULL FEDERAL FUNDING IN THE AMOUNT OF $111,612.  SEE TERMS AND CONDITIONS.  PREAWARD COSTS HAVE BEEN APPROVED BACK TO OCTOBER 1, 2019."
99T99101,OTHER,,NAVAJO NATION TRIBAL GOVERNMENT,875000.0,2019-11-01,66.468,"THE DRINKING WATER TRIBAL SET-ASIDE (DWTSA) FUNDS ARE BEING AWARDED TO THE NAVAJO NATION TO FUND THE OPERATOR CERTIFICATION PROGRAM.  THIS PROGRAM ENSURES WATER OPERATORS ARE CERTIFIED TO THE LEVEL REQUIRED OF THE PUBLIC WATER SYSTEM THEY OPERATE AND MAINTAIN.  TRAINING, EXAMINATIONS, AND TECHNICAL ASSISTANCE ARE PROVIDED BY THE NAVAJO OPERATOR CERTIFICATION PROGRAM.  THIS ASSISTANCE AGREEMENT PROVIDES FULL FEDERAL FUNDING IN THE AMOUNT OF $125,000.  PRE-AWARD COSTS APPROVED BACK TO NOVEMBER 1, 2019."
99T99001,OTHER,,DEPARTMENT OF SOCIAL SERVICES CALIFORNIA,8440000.0,2020-07-01,66.444,"THIS AGREEMENT PROVIDES FUNDING TO IMPLEMENT A PROGRAM OF VOLUNTARY TESTING FOR LEAD IN DRINKING WATER AT LOCAL CHILD CARE CENTERS. SPECIFICALLY, THE RECIPIENT WILL CONDUCT DRINKING WATER TESTING, PROVIDE EDUCATIONAL OUTREACH TO THE CHILD CARE CENTER COMMUNITY ON LEAD HAZARDS, COMMUNICATE TESTING RESULTS, AND SUPPORT FOLLOW-UP CORRECTIONS AS NEEDED.  THIS ASSISTANCE AGREEMENT PROVIDES FULL FEDERAL FUNDING IN THE AMOUNT OF $6,137,000.  SEE TERMS AND CONDITIONS.  PREAWARD COSTS HAVE BEEN APPROVED BACK TO JULY 1, 2020."
99T98301,ENV,ENV_NOHEALTH,SHOSHONE-PAIUTE TRIBES,181000.0,2019-10-01,66.460,"THIS AGREEMENT SUPPORTS THE FURTHER DEVELOPMENT AND ADMINISTRATION OF THE SHOSHONE PAIUTE TRIBES OF DUCK VALLEY'S NONPOINT SOURCE POLLUTION CONTROL PROGRAM.  MAJOR ACTIVITIES INCLUDE ASSESSMENT OF CURRENT NONPOINT SOURCE POLLUTION ISSUES THROUGHOUT THE RESERVATION AND UPDATING THE TRIBE'S NONPOINT SOURCE ASSESSMENT REPORT AND MANAGEMENT PROGRAM PLAN, WHICH WILL ULTIMATELY REDUCE NONPOINT SOURCE POLLUTANT LOADS TO THE TRIBAL WATERS.  THIS AGREEMENT PROVIDES FULL FEDERAL FUNDING IN THE AMOUNT OF $30,000."
99T98001,OTHER,,NORTH AMERICAN DEVELOPMENT BANK,13763396.0,2019-10-01,66.202,"THIS COOPERATIVE AGREEMENT WILL SUPPORT THE BORDER ENVIRONMENT INFRASTRUCTURE FUND (BEIF) PROGRAM.  THIS PROGRAM PROVIDES FUNDS FOR DESIGN AND CONSTRUCTION OF COMMUNITY WATER AND WASTEWATER INFRASTRUCTURE PROJECTS WITHIN 100 KILOMETERS NORTH AND SOUTH OF THE US-MEXICO BORDER AND FOR ADMINISTRATIVE AND RELATED COSTS TO THE IMPLEMENTATION AND OVERSIGHT OF THESE PROJECTS.  THIS ASSISTANCE AGREEMENT PROVIDES PARTIAL FEDERAL FUNDING IN THE AMOUNT OF $6,024,473."
99T97801,ENV,ENV_NOHEALTH,CONFEDERATED TRIBES OF THE GOSHUTE RESERVATION,539911.0,2019-10-01,66.926,"THIS COOPERATIVE AGREEMENT PROVIDES FUNDING TO DEVELOP THE TRIBE'S ENVIRONMENTAL PROGRAM. ACTIVITIES TO INCLUDE COMMUNITY OUTREACH ON COMPOSTING, UPDATE THE INTEGRATED SOLID WASTE MANAGEMENT PLAN, FOLLOW UP ON THE BROWNFIELD ASSESSMENT, CONDUCT AN ASSESSMENT OF THREE BURIED/PARTIALLY BURIED OPEN DUMPS, UPDATE THE INTEGRATED SOLID WASTE MANAGEMENT PLAN AND ATTEND MEETINGS AND TRAININGS IN ORDER TO DEVELOP CAPACITY IN THEIR ENVIRONMENTAL PROGRAMS.  THIS AGREEMENT PROVIDES FULL FEDERAL FUNDING IN THE AMOUNT OF $112,383."
99T97601,OTHER,,CHEMEHUEVI INDIAN TRIBE,435700.0,2019-10-01,66.468,"THE PROPOSED PROJECT IS TO REPLACE WATERLINE INFRASTRUCTURE WITHIN THE ENTERPRISE MOBILE HOME PARK (MHP) ON THE CHEMEHUEVI INDIAN RESERVATION. WATER METERS WITH AUTOMATED METER READING CAPABILITY WILL ALSO BE INSTALLED AT EACH SERVICE LINE. THE NEW PIPE WILL PROVIDE SUSTAINABLE WATER SUPPLY TO THE COMMUNITY.  THIS ASSISTANCE AGREEMENT PROVIDES FULL FEDERAL FUNDING IN THE AMOUNT OF $435,700."
99T97501,OTHER,,NAVAJO NATION TRIBAL GOVERNMENT,500783.0,2019-11-01,66.802,"THESE FUNDS WILL HELP THE GRANTEE ACT AS A TECHNICAL EXPERT FOR THE BENEFIT OF THE NAVAJO NATION ON MINE SITES ON ABANDONED URANIUM MINE SITES THAT POSE A PUBLIC HEALTH EMERGENCY FOR THE NAVAJO PEOPLE. THE GRANTEE WILL HELP PROVIDE INFORMATION TO REQUESTERS SUCH AS EPA, PRINCIPLE RESPONSIBLE PARTIES, FEDERAL AGENCIES, AND ASSIST WITH SITE INVESTIGATION AND RESPONSE ACTIVITY. THE GRANTEE IS EXPECTED TO PARTICIPATE IN THE TEN-YEAR-PLAN COORDINATION AND REPORTING.  THIS ASSISTANCE AGREEMENT PROVIDES PARTIAL FEDERAL FUNDING IN THE AMOUNT OF $415,000."
99T97201,OTHER,,PIMA COUNTY ENVIRONMENTAL DEPARTMENT,200000.0,2020-02-01,66.034,"THIS PROJECT WILL PROVIDE ASSISTANCE TO IDENTIFY AND ESTABLISH TWO NEAR-ROAD NITROGEN DIOXIDE (NO2) MONITORING SITES.  THIS SPECIFIC AWARD SUPPORTS ESTABLISHING A SITE IN PIMA COUNTY.  THIS ASSISTANCE AGREEMENT PROVIDES FEDERAL FUNDING IN THE AMOUNT OF $200,000.  PRE-AWARD COSTS HAVE BEEN APPROVED BACK TO FEBRUARY 1, 2020."
