Category,Appl_id,FY,Funding IC,Project Number,Sub Project #,Project Title,PI_Name,Org Name,State / Country,Amount,Tag,Reason,Environmental_Subgroup,Combined_Tag,Fix_Applied,UserFix_Applied,Clinical_Subcategory,Mechanistic_Subcategory
Biodefense and Related Countermeasures,10261549.0,2024.0,NIA,5R01AG072301-02,,COVID-FIS: A PHASE 2 PLACEBO-CONTROLLED PILOT STUDY IN COVID-19 OF FISETIN TO ALLEVIATE DYSFUNCTION AND EXCESSIVE INFLAMMATORY RESPONSE IN OLDER ADULTS IN NURSING HOMES,"PIGNOLO, ROBERT",MAYO CLINIC ROCHESTER,MN,1.0,Everything_else,EE: \bphase [123]\b,,Everything_else,Moved from Everything_else (matched: inflammatory),Moved from Mechanistic to Everything_else,,
Biodefense and Related Countermeasures,10450737.0,2024.0,NIAID,5P01AI152999-04,6541.0,P01 Administrative Core,"ARIAS, CESAR",UNIVERSITY OF TEXAS HLTH SCI CTR HOUSTON,TX,233961.0,Everything_else,EE: \bcore\b,,Everything_else,,,,
Biodefense and Related Countermeasures,10450738.0,2024.0,NIAID,5P01AI152999-04,6542.0,Functional Genomics Core,"HAAG, ANTHONY",BAYLOR COLLEGE OF MEDICINE,TX,664117.0,Everything_else,EE: \bcore\b,,Everything_else,,,,
Biodefense and Related Countermeasures,10450739.0,2024.0,NIAID,5P01AI152999-04,6543.0,Project 1: Genomics of Pathobionts and Transition From Colonization to Infection,"ARIAS, CESAR",UNIVERSITY OF TEXAS HLTH SCI CTR HOUSTON,TX,501388.0,Mechanistic_Pathogenesis,Mech: \bgenomics\b,,Mechanistic_and_Genetic,,,,
Biodefense and Related Countermeasures,10450741.0,2024.0,NIAID,5P01AI152999-04,6544.0,Project 2: Leveraging Metagenomics of the Microbiome to predict colonization/infection by antimicrobial-resistant pathogens,"SHELBURNE, SAMUEL",UNIVERSITY OF TX MD ANDERSON CAN CTR,TX,474261.0,Mechanistic_Pathogenesis,Mech: \bmicrobiome\b,,Mechanistic_and_Genetic,,,,
Biodefense and Related Countermeasures,10450742.0,2024.0,NIAID,5P01AI152999-04,6546.0,Project 3: Functional Microbiome and Host Signatures in Transition from Commensal to pathogen,"SAVIDGE, TOR",BAYLOR COLLEGE OF MEDICINE,TX,532800.0,Mechanistic_Pathogenesis,Mech: \bfunction,,Mechanistic_and_Genetic,,,,
Biodefense and Related Countermeasures,10507221.0,2024.0,NIAID,1K22AI170797-01,,Elucidating the roles of the beta-2 adrenergic receptor and epidermal growth factor receptor in flavivirus NS1-mediated endothelial dysfunction,"BIERING, SCOTT","UNIVERSITY OF CALIFORNIA, SAN DIEGO",CA,162000.0,Mechanistic_Pathogenesis,Mech: \belucidating\b,,Mechanistic_and_Genetic,,,,
Biodefense and Related Countermeasures,10512058.0,2024.0,NIAID,5R01AI141532-05,,Aedes antiviral RNAi pathway,"DIMOPOULOS, GEORGE",JOHNS HOPKINS UNIVERSITY,MD,749082.0,Mechanistic_Pathogenesis,Mech: \bpathway\b,,Mechanistic_and_Genetic,,,,
Biodefense and Related Countermeasures,10524676.0,2024.0,NIAID,1K22AI166265-01A1,,Elucidating regulatory control of Acinetobacter baumannii persistence and spread,"GREEN, ERIN",UNIVERSITY OF CHICAGO,IL,162000.0,Mechanistic_Pathogenesis,Mech: \belucidating\b,,Mechanistic_and_Genetic,,,,
Biodefense and Related Countermeasures,10538573.0,2024.0,NIAID,5R01AI145679-04,,Emergence of bedaquiline and clofazimine resistance after interruption of drug-resistant TB therapy in a high HIV prevalence setting,"BRUST, JAMES",ALBERT EINSTEIN COLLEGE OF MEDICINE,NY,745231.0,Mechanistic_Pathogenesis,Studies molecular/pathogen mechanisms (reclassified),,Everything_else,Epidemiology/Surveillance → Everything_else,,,
Biodefense and Related Countermeasures,10553143.0,2024.0,NIAID,5R01AI090142-09,,Identification and Role of Type IV Secretion Effector Proteins in Coxiella burnetii,"SAMUEL, JAMES",TEXAS A&M UNIVERSITY HEALTH SCIENCE CTR,TX,367105.0,Mechanistic_Pathogenesis,Mech: \bidentification\b,,Mechanistic_and_Genetic,,,,
Biodefense and Related Countermeasures,10556331.0,2024.0,NIDA,5R01DA051202-04,,Immune Dysfunction in HIV+ Opioid Users,"PAHWA, SAVITA",UNIVERSITY OF MIAMI SCHOOL OF MEDICINE,FL,865279.0,Mechanistic_Pathogenesis,Mech: \bimmune,,Mechanistic_and_Genetic,,,,
Biodefense and Related Countermeasures,10569595.0,2024.0,NIAID,5R01AI163011-03,,"Development of multivalent, ultrapotent nanobody cocktails for SARS-CoV-2 neutralization","SHI, YI",ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,NY,587096.0,Mechanistic_Pathogenesis,Mech: \bneutraliz,,Mechanistic_and_Genetic,,,,
