Category,Appl_id,FY,Funding IC,Project Number,Sub Project #,Project Title,PI_Name,Org Name,State / Country,Amount,Tag,Reason,Environmental_Subgroup,Combined_Tag,Fix_Applied,UserFix_Applied,Clinical_Subcategory,Mechanistic_Subcategory
Colorectal Cancer,10560640,2024,NIGMS,5R35GM136390-04,,Understanding how heme and iron are metabolized by anaerobic commensal bacteria and host-microbiome communities,"DUBOIS, JENNIFER",MONTANA STATE UNIVERSITY - BOZEMAN,MT,356537,Strictly_Environmental_or_Gene-Environment,Contains environmental exposure terms,Microbiome,Mechanistic_and_Genetic,Microbiome rule: infection/pathogen or basic biology,,,
Colorectal Cancer,10581592,2024,NCI,5R37CA259156-04,,Using Natural Language Processing and Crowdsourcing to Monitor and Evaluate Public Information and Communication Disparities about Colon Cancer Screening,"KING, ANDY",UNIVERSITY OF UTAH,UT,380988,Everything_else,"Does not fit environmental/gene_environ, strictly genetic, or mechanistic",,Everything_else,,,,
Colorectal Cancer,10649581,2024,NCI,5R01CA259420-04,,Aggressive colorectal cancer subtypes and social disadvantage in a racially diverse cohort,"ROZEK, LAURA",GEORGETOWN UNIVERSITY,DC,560797,Everything_else,"Does not fit environmental/gene_environ, strictly genetic, or mechanistic",,Everything_else,,,,
Colorectal Cancer,10663224,2024,NCI,5F30CA254064-04,,Detection and treatment of breast and colorectal cancer in dual eligible beneficiaries in the Medicare Sharing Savings Program,"OH, NUL",UNIV OF NORTH CAROLINA CHAPEL HILL,NC,53974,Everything_else,"Does not fit environmental/gene_environ, strictly genetic, or mechanistic",,Everything_else,,,,
Colorectal Cancer,10670886,2024,NCI,5R01CA242920-06,,Functional Consequences of Racially Associated Ephrin Alterations on the Prostate Tumor Microenvironment,"FRANCO CORONEL, OMAR",LOUISIANA STATE UNIV HSC SHREVEPORT,LA,325771,Mechanistic_Pathogenesis,Contains mechanistic pathogenesis terms,,Mechanistic_and_Genetic,,,,
Colorectal Cancer,10691871,2024,NCI,5R01CA231321-06,,Role of Circadian Factors in Inflammation and Colorectal Adenoma Risk,"BURCH, JAMES",VIRGINIA COMMONWEALTH UNIVERSITY,VA,243641,Mechanistic_Pathogenesis,Contains mechanistic pathogenesis terms,,Mechanistic_and_Genetic,,,,
Colorectal Cancer,10733437,2024,NIBIB,5R01EB029750-04,,Engineering S. typhimurium for metastatic colorectal cancer,"DANINO, TAL",COLUMBIA UNIV NEW YORK MORNINGSIDE,NY,352142,Mechanistic_Pathogenesis,Engineering bacteria for metastatic cancer treatment (mechanism),,Mechanistic_and_Genetic,,,,
Colorectal Cancer,10738270,2024,NCI,5R01CA238229-05,,Allosteric inhibitors targeting oncogenic BRAF V600E dimers,"GAVATHIOTIS, EVRIPIDIS",ALBERT EINSTEIN COLLEGE OF MEDICINE,NY,428455,Mechanistic_Pathogenesis,Contains mechanistic pathogenesis terms,,Mechanistic_and_Genetic,,,,
Colorectal Cancer,10738300,2024,NCI,5R01CA255216-04,,Non-invasive imaging of the anti-tumor immune response,"PLOEGH, HIDDE",BOSTON CHILDREN'S HOSPITAL,MA,558258,Mechanistic_Pathogenesis,Contains mechanistic pathogenesis terms,,Mechanistic_and_Genetic,,,,
Colorectal Cancer,10738736,2024,NCI,5R01CA237895-05,,Time-dependent and bidirectional effect of oxidative stress - a missing piece of the free radical theory of cancer and its potential implications,"YANG, GONG",VANDERBILT UNIVERSITY MEDICAL CENTER,TN,650162,Mechanistic_Pathogenesis,Studies oxidative stress effects (mechanism),,Mechanistic_and_Genetic,,,,
