Category,Appl_id,FY,Funding IC,Project Number,Sub Project #,Project Title,PI_Name,Org Name,State / Country,Amount,Amount_numeric,Tag,Reason,Environmental_Subgroup,Combined_Tag,Fix_Applied,UserFix_Applied,Clinical_Subcategory,Mechanistic_Subcategory
Amyotrophic Lateral Sclerosis (ALS),0,2024,OD,HHS-330: NIH-OD-FDA-CDER-2024-003,,Rare Neurodegenerative Diseases,,,,4000000,4000000.0,Strictly_Genetic,Mentions genes/variants/genome without mechanistic terms or exposures,,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10480808,2024,NIDA,5UH3NS114439-03,,Investigation of the Cortical Communication (CORTICOM) System,"CRONE, NATHAN",JOHNS HOPKINS UNIVERSITY,MD,664408,664408.0,Everything_else,"Clinical, intervention, care, or other unspecified project",,Everything_else,,,,
Amyotrophic Lateral Sclerosis (ALS),10480808,2024,NINDS,5UH3NS114439-03,,Investigation of the Cortical Communication (CORTICOM) System,"CRONE, NATHAN",JOHNS HOPKINS UNIVERSITY,MD,1355131,1355131.0,Everything_else,"Clinical, intervention, care, or other unspecified project",,Everything_else,,,,
Amyotrophic Lateral Sclerosis (ALS),10609967,2024,NIA,4R01NS114128-02,,The pathogenic relationship between neuronal activity and C9orf72-linked neurodegeneration,"HAEUSLER, AARON",THOMAS JEFFERSON UNIVERSITY,PA,536869,536869.0,Mechanistic_Pathogenesis,Includes mechanistic molecular/cellular or immune pathway terms,,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10611787,2024,NIA,4R01NS117449-02,,Contributions of Endothelial RNA-binding Protein Dysregulation to Blood Brain Barrier Defects and Neurodegenerative Disease,"MURPHY, PATRICK",UNIVERSITY OF CONNECTICUT SCH OF MED/DNT,CT,544285,544285.0,Mechanistic_Pathogenesis,Includes mechanistic molecular/cellular or immune pathway terms,,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10611809,2024,NIA,4R01NS118570-02,,Connecting TDP-43 Pathology to the Molecular Profiles of Neurodegeneration,"GALE HAMMELL, MOLLY",NEW YORK UNIVERSITY SCHOOL OF MEDICINE,NY,879816,879816.0,Mechanistic_Pathogenesis,"Studies TDP-43 pathology and molecular profiles (mechanism, not inherited genetics)",,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10732627,2024,NINDS,4R33NS124965-02,,Targeting STAU1 for TDP-43 proteinopathies,"SCOLES, DANIEL",UNIVERSITY OF UTAH,UT,384997,384997.0,Mechanistic_Pathogenesis,Includes mechanistic molecular/cellular or immune pathway terms,,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10732756,2024,NIEHS,5R01ES029971-05,,Brain-derived extracellular vesicles as a novel source of biomarkers for disease progression and environmental exposure in ALS,"RE, DIANE",COLUMBIA UNIVERSITY HEALTH SCIENCES,NY,653821,653821.0,Mechanistic_Pathogenesis,Includes mechanistic molecular/cellular or immune pathway terms,,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10733438,2024,NIEHS,5R01ES030049-05,,Mapping the ALS Exposome to Gain New Insights into Disease Risk and Pathogenesis,"FELDMAN, EVA",UNIVERSITY OF MICHIGAN AT ANN ARBOR,MI,653107,653107.0,Strictly_Environmental_or_Gene-Environment,Studies ALS EXPOSOME - environmental exposures,Chemicals,Strictly_Environmental_or_Gene-Environment,,,,
Amyotrophic Lateral Sclerosis (ALS),10740898,2024,NINDS,5R01NS119508-04,,Corticospinal Neuron Dysfunction and Degeneration in ALS: Testing the Role of Corticomotor Connectivity in Motor Neuron Disease,"YOSHIDA, YUTAKA",WINIFRED MASTERSON BURKE MED RES INST,NY,645302,645302.0,Mechanistic_Pathogenesis,Includes mechanistic molecular/cellular or immune pathway terms,,Mechanistic_and_Genetic,,,,
