Category,Appl_id,FY,Funding_IC,Project_Number,Sub_Project,Project_Title,PI_Name,Org_Name,State_Country,Amount,Tag,Reason,Environmental_Subgroup,Combined_Tag,Fix_Applied,UserFix_Applied,Clinical_Subcategory,Mechanistic_Subcategory
Breast Cancer,10535469,2024,NIAID,5R01AI146260-04,,Development of Oncolytic Reovirus for Triple-Negative Breast Cancer,"LOWEN, ANICE",EMORY UNIVERSITY,GA,380112,Mechanistic_Pathogenesis,Contains mechanistic/pathway/molecular terms,,Mechanistic_and_Genetic,,,,
Breast Cancer,10541859,2024,NIEHS,5R01ES031796-04,,RAD51 paralog function in cancer predisposition and genome integrity,"BERNSTEIN, KARA",UNIVERSITY OF PENNSYLVANIA,PA,451972,Mechanistic_Pathogenesis,Contains mechanistic/pathway/molecular terms,,Mechanistic_and_Genetic,,,,
Breast Cancer,10604304,2024,NCI,5R01CA227763-05,,Dedicated breast PET and MRI for characterization of breast cancer and its response to therapy,"HYLTON-WATSON, NOLA","UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",CA,556346,Everything_else,"Clinical, behavioral, or other research",,Everything_else,,,,
Breast Cancer,10614522,2024,NIMHD,5R01MD014312-04,,Testing scalable communication modalities for returning breast cancer genetic research results to African American women,"WANG, CATHARINE",BOSTON UNIVERSITY MEDICAL CAMPUS,MA,654900,Everything_else,"Clinical, behavioral, or other research",,Everything_else,,,,
Breast Cancer,10614522,2024,NHGRI,5R01MD014312-04,,Testing scalable communication modalities for returning breast cancer genetic research results to African American women,"WANG, CATHARINE",BOSTON UNIVERSITY MEDICAL CAMPUS,MA,100000,Everything_else,"Clinical, behavioral, or other research",,Everything_else,,,,
Breast Cancer,10615123,2024,NCI,5R01CA244491-04,,Macrophage-specific nanotherapy for breast cancer,"SMITH, BRYAN",MICHIGAN STATE UNIVERSITY,MI,491020,Mechanistic_Pathogenesis,Contains mechanistic/pathway/molecular terms,,Mechanistic_and_Genetic,,,,
Breast Cancer,10625291,2024,NCI,5R37CA252060-04,,Enhancing cognitive function in breast cancer survivors through community-based aerobic exercise training,"EHLERS, DIANE",MAYO CLINIC ARIZONA,AZ,515850,Everything_else,Clinical/implementation/behavioral focus,,Everything_else,,,,
Breast Cancer,10652975,2024,NCI,5R01CA225662-06,,The contribution of RAD51C and RAD51D to breast and ovarian cancer,"COUCH, FERGUS",MAYO CLINIC ROCHESTER,MN,289844,Everything_else,"Clinical, behavioral, or other research",,Everything_else,,,,
Breast Cancer,10656275,2024,NCI,5R01CA255226-04,,Imaging the multifaceted response to a bispecific antibody therapy,"MARQUEZ-NOSTRA, BERNADETTE",UNIVERSITY OF ALABAMA AT BIRMINGHAM,AL,29864,Mechanistic_Pathogenesis,Contains mechanistic/pathway/molecular terms,,Mechanistic_and_Genetic,,,,
Breast Cancer,10658140,2024,NCI,4R37CA225877-06,,"Multi-site adaptive trial of a technology-based, EHR-integrated physical activity intervention in breast and endometrial cancer survivors","PHILLIPS, SIOBHAN",NORTHWESTERN UNIVERSITY AT CHICAGO,IL,596996,Everything_else,Clinical/implementation/behavioral focus,,Everything_else,,,,
Breast Cancer,10661744,2024,NCI,5K08CA252640-05,,Leveraging implementation science to accelerate adoption of shorter-course radiation for breast and prostate cancer,"GILLESPIE, ERIN",UNIVERSITY OF WASHINGTON,WA,263033,Everything_else,Clinical/implementation/behavioral focus,,Everything_else,,,,
Breast Cancer,10663224,2024,NCI,5F30CA254064-04,,Detection and treatment of breast and colorectal cancer in dual eligible beneficiaries in the Medicare Sharing Savings Program,"OH, NUL",UNIV OF NORTH CAROLINA CHAPEL HILL,NC,53974,Mechanistic_Pathogenesis,Contains mechanistic/pathway/molecular terms,,Mechanistic_and_Genetic,,,,
Breast Cancer,10668958,2024,NCI,5R01CA254037-04,,Defining BRCA replication dysfunction in therapy response,"CANTOR, SHARON",UNIV OF MASSACHUSETTS MED SCH WORCESTER,MA,443626,Mechanistic_Pathogenesis,Reclassified - mechanistic focus identified,,Mechanistic_and_Genetic,,,,
Breast Cancer,10672200,2024,NCI,5R01CA255996-04,,Regulation of Type I Interferon Pro-tumor Effects in Breast Cancer,"WU, MEI-YI",UNIVERSITY OF MARYLAND BALTIMORE,MD,1,Mechanistic_Pathogenesis,Reclassified - mechanistic focus identified,,Mechanistic_and_Genetic,,,,
Breast Cancer,10672970,2024,NCI,5R03CA267216-02,,A novel strategy to debilitate breast cancer metastasis,"SAMANT, RAJEEV",UNIVERSITY OF ALABAMA AT BIRMINGHAM,AL,74250,Mechanistic_Pathogenesis,Reclassified - mechanistic focus identified,,Mechanistic_and_Genetic,,,,
Breast Cancer,10676096,2024,NCI,5R01CA230440-05,,Social networks and disparities in health behaviors and breast cancer outcomes in immigrant women,"KROENKE, CANDYCE",KAISER FOUNDATION RESEARCH INSTITUTE,CA,636502,Everything_else,Clinical/implementation/behavioral focus,,Everything_else,,,,
Breast Cancer,10679042,2024,NCI,5R01CA262106-03,,Vimentin Phospho-Malleability is Critical for Maintaining Stemness and Metastatic Properties,"MANI, SENDURAI",BROWN UNIVERSITY,RI,375590,Mechanistic_Pathogenesis,Contains mechanistic/pathway/molecular terms,,Mechanistic_and_Genetic,,,,
Breast Cancer,10686368,2024,NCI,5K08CA241087-05,,Developing a Decision Tool for Chemotherapy in Older Women with Early Stage Breast Cancer,"KARUTURI, MEGHAN",UNIVERSITY OF TX MD ANDERSON CAN CTR,TX,250577,Everything_else,Clinical/implementation/behavioral focus,,Everything_else,,,,
Breast Cancer,10689862,2024,NCI,5R01CA259396-04,,The DARC side of Breast Cancer Disparities - African Ancestry and Cancer- Related Immune Response,"DAVIS, MELISSA",MOREHOUSE SCHOOL OF MEDICINE,GA,449825,Everything_else,Clinical/implementation/behavioral focus,,Mechanistic_and_Genetic,Moved from Everything_else (matched: immune),,,
Breast Cancer,10696153,2024,NCI,5R01CA264987-04,,Radiomic and genomic predictors of breast cancer risk,"SIEH, WEIVA",UNIVERSITY OF TX MD ANDERSON CAN CTR,TX,662768,Everything_else,"Clinical, behavioral, or other research",,Everything_else,,,,
