Category,Appl_id,FY,Funding IC,Project Number,Sub Project #,Project Title,PI_Name,Org Name,State / Country,Amount,Tag,Reason,Environmental_Subgroup,Combined_Tag,Fix_Applied,UserFix_Applied,Clinical_Subcategory,Mechanistic_Subcategory
Contraception/Reproduction,0.0,2024.0,NICHD,L50HD000000-00,,NIH Loan Repayment Program,,,,1288908.0,Everything_else,Administrative/other,,Everything_else,,,,
Contraception/Reproduction,10392435.0,2024.0,NIEHS,5R01ES028346-05,,Extreme heat events and pregnancy duration: a national study,"CHANG, HOWARD",EMORY UNIVERSITY,GA,522400.0,Strictly_Environmental_or_Gene-Environment,Heat exposure,Other,Environmental,,Updated Environmental subgroup to Other,,
Contraception/Reproduction,10478288.0,2024.0,NCI,5R44CA228758-06,,"Type-7: Fertility Protection in Cancer: Recovery of Whole Ovaries enabled by Next Gen Perfusion, Cryoprotection, and Nanowarming","WEEGMAN, BRADLEY",EXPANSE BIO LLC,SC,361022.0,Everything_else,"Clinical, intervention, care, or other unspecified project",,Everything_else,,,,
Contraception/Reproduction,10570171.0,2024.0,NIEHS,5R01ES031701-04,,The CHARGE Study Phase II: A Multifactorial Approach to Autism Etiology,"HERTZ-PICCIOTTO, IRVA",UNIVERSITY OF CALIFORNIA AT DAVIS,CA,1594617.0,Everything_else,"Clinical, intervention, care, or other unspecified project",,Everything_else,,,,
Contraception/Reproduction,10610851.0,2024.0,NICHD,5R01HD097206-04,,Physiological Functions of Female Reproductive Tract Secretions,"SUN, JIANJUN",UNIVERSITY OF CONNECTICUT STORRS,CT,324120.0,Everything_else,"Clinical, intervention, care, or other unspecified project",,Everything_else,,,,
Contraception/Reproduction,10612806.0,2024.0,NHGRI,5R01HD105267-03,,Large scale genome sequencing and integrative analyses to define genomic predictors of recurrent pregnancy loss,"JIANG, YONG-HUI",YALE UNIVERSITY,CT,500000.0,Strictly_Genetic,Genome sequencing,,Mechanistic_and_Genetic,,,,
Contraception/Reproduction,10612806.0,2024.0,NICHD,5R01HD105267-03,,Large scale genome sequencing and integrative analyses to define genomic predictors of recurrent pregnancy loss,"JIANG, YONG-HUI",YALE UNIVERSITY,CT,979765.0,Strictly_Genetic,Genome sequencing,,Mechanistic_and_Genetic,,,,
Contraception/Reproduction,10612963.0,2024.0,NICHD,5R01HD094834-05,,Intergenerational Neuroimaging of Language and Reading Networks Using a Natural Cross-Fostering Design,"HOEFT, FUMIKO",UNIVERSITY OF CONNECTICUT STORRS,CT,625912.0,Everything_else,"Clinical, intervention, care, or other unspecified project",,Everything_else,,,,
Contraception/Reproduction,10624277.0,2024.0,NINR,5R01NR017944-05,,Promoting stretching exercise to reduce cardiovascular health risk in late pregnant women with obesity,"YEO, SEONAE",UNIV OF NORTH CAROLINA CHAPEL HILL,NC,408983.0,Everything_else,Intervention/training program,,Everything_else,,,,
Contraception/Reproduction,10653125.0,2024.0,NICHD,5R01HD101475-05,,The Regulation of Ovarian Aging by H19 and let-7,"KALLEN, AMANDA",UNIVERSITY OF VERMONT & ST AGRIC COLLEGE,VT,325405.0,Mechanistic_Pathogenesis,Regulation study,,Mechanistic_and_Genetic,,,,
Contraception/Reproduction,10670804.0,2024.0,NIDDK,5R01DK101536-10,,3-Way Approach for ED Prevention,"PODLASEK, CAROL",UNIVERSITY OF ILLINOIS AT CHICAGO,IL,563731.0,Everything_else,"Clinical, intervention, care, or other unspecified project",,Everything_else,,,,
Contraception/Reproduction,10686205.0,2024.0,NIAID,5R01AI158836-03,,Vaginal microbiota transplant to promote Lactobacillus-dominant cervicovaginal communities,"MITCHELL, CAROLINE",MASSACHUSETTS GENERAL HOSPITAL,MA,832912.0,Strictly_Environmental_or_Gene-Environment,Microbiome,Microbiome,Environmental,,Updated Environmental subgroup to Microbiome,,
Contraception/Reproduction,10691338.0,2024.0,NICHD,5R21HD109743-02,,Selective targeting of matrix metalloproteinases for developing preterm labor therapeutics,"RAEESZADEH SARMAZDEH, MARYAM",UNIVERSITY OF NEVADA RENO,NV,187308.0,Mechanistic_Pathogenesis,Preterm labor mechanism,,Mechanistic_and_Genetic,,,,
Contraception/Reproduction,10698192.0,2024.0,NIA,5U19AG063720-04,8001.0,Project 1: Influence of Midlife on Functioning and Psychological Well-being in Early Old Age,"HARLOW, SIOBAN",UNIVERSITY OF PITTSBURGH AT PITTSBURGH,PA,1407334.0,Everything_else,"Clinical, intervention, care, or other unspecified project",,Everything_else,,,,
Contraception/Reproduction,10698194.0,2024.0,NIA,5U19AG063720-04,8003.0,"Project 2: Menopause, Midlife and Cardiovascular Health in Early Old Age","THURSTON, REBECCA",UNIVERSITY OF PITTSBURGH AT PITTSBURGH,PA,1149549.0,Everything_else,"Clinical, intervention, care, or other unspecified project",,Everything_else,,,,
Contraception/Reproduction,10706316.0,2024.0,NICHD,5F31HD106761-02,,Characterizing the Sexually Dimorphic Role of Topoisomerase II During the Sister Chromatid Cohesion Release Pathway.,"ROURKE, CHRISTINE",UNIVERSITY OF DELAWARE,DE,44172.0,Mechanistic_Pathogenesis,Role/function study,,Mechanistic_and_Genetic,,,,
Contraception/Reproduction,10710488.0,2024.0,NICHD,5F31HD110102-02,,A role for hypothalamic astrocytes in neural circuits controlling reproduction,"PHILLIPS, CHRYSTIAN",UNIVERSITY OF MICHIGAN AT ANN ARBOR,MI,42652.0,Mechanistic_Pathogenesis,Hypothalamic mechanism,,Mechanistic_and_Genetic,,,,
Contraception/Reproduction,10729855.0,2024.0,NICHD,5F32HD108944-02,,Probing and modeling decidual natural killer cells in preterm birth,"CHEUNG, VIRGINIA","UNIVERSITY OF CALIFORNIA, SAN DIEGO",CA,77284.0,Mechanistic_Pathogenesis,NK cell study,,Mechanistic_and_Genetic,,,,
Contraception/Reproduction,10731737.0,2024.0,NIEHS,5R01ES030341-05,,Investigating obesity-induced altered ovarian intracellular signaling,"KEATING, AILEEN",IOWA STATE UNIVERSITY,IA,720568.0,Mechanistic_Pathogenesis,Signaling pathway,,Mechanistic_and_Genetic,,,,
Contraception/Reproduction,10732257.0,2024.0,NIEHS,5R01ES031285-04,,Microvascular mechanisms of growth restriction after environmental toxicant exposure,"STAPLETON, PHOEBE",RUTGERS BIOMEDICAL AND HEALTH SCIENCES,NJ,591707.0,Strictly_Environmental_or_Gene-Environment,Environmental exposure,Chemicals,Strictly_Environmental_or_Gene-Environment,,,,
Contraception/Reproduction,10732764.0,2024.0,NIEHS,5R01ES033767-03,,Phthalate-Induced Dysregulation of Prostaglandin and Angiogenic Function During Ovulation in Women,"HANNON, PATRICK",UNIVERSITY OF KENTUCKY,KY,439396.0,Strictly_Environmental_or_Gene-Environment,Chemical exposure,Chemicals,Strictly_Environmental_or_Gene-Environment,,,,
Contraception/Reproduction,10732766.0,2024.0,NIEHS,5K12ES033594-03,,"Scholars in Environmental Pediatrics, Reproductive Health, and Life Course Science","WRIGHT, ROSALIND",ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,NY,481564.0,Everything_else,Training/fellowship program,,Everything_else,,,,
Contraception/Reproduction,10732767.0,2024.0,NIGMS,5R00GM137038-05,,Genetic Innovation of Cytoskeletal Proteins for Specialized Functions in the Male Germline,"SCHROEDER, COURTNEY",UT SOUTHWESTERN MEDICAL CENTER,TX,249000.0,Mechanistic_Pathogenesis,Germline mechanism/function study,,Mechanistic_and_Genetic,,,,
Contraception/Reproduction,10732994.0,2024.0,NCI,4R37CA238274-06,,Restoring Progestin Sensitivity in Endometrial Cancer,"YANG, SHUJIE",UNIVERSITY OF IOWA,IA,331586.0,Everything_else,"Clinical, intervention, care, or other unspecified project",,Everything_else,,,,
Contraception/Reproduction,10734584.0,2024.0,NICHD,1R01HD110408-01A1,,Targeting proteinopathy/tauopathy and impaired autophagy for mechanistic understanding and therapeutic intervention of preeclampsia,"SHARMA, SURENDRA",UNIVERSITY OF TEXAS MED BR GALVESTON,TX,472902.0,Everything_else,Intervention study,,Mechanistic_and_Genetic,Contraception mechanism grant → Mechanistic,,,
Contraception/Reproduction,10736996.0,2024.0,NICHD,1U01HD109332-01A1,,A Dose Escalation Study of Low Dose Aspirin for the Prevention of Recurrent Preterm Birth,"CLIFTON, REBECCA",GEORGE WASHINGTON UNIVERSITY,DC,2555013.0,Mechanistic_Pathogenesis,Preterm birth mechanism,,Mechanistic_and_Genetic,,,,
Contraception/Reproduction,10738744.0,2024.0,NIAID,5K08AI151265-04,,Functions for novel IL-15-responsive macrophages in the uterus during pregnancy,"GORDON, SCOTT",CHILDREN'S HOSP OF PHILADELPHIA,PA,185328.0,Mechanistic_Pathogenesis,Uterine biology,,Mechanistic_and_Genetic,,,,
Contraception/Reproduction,10738810.0,2024.0,NIAID,5R21AI169123-02,,Developing mouse models to study circulating memory to Chlamydia infection,"MCSORLEY, STEPHEN",UNIVERSITY OF CALIFORNIA AT DAVIS,CA,190107.0,Everything_else,"Clinical, intervention, care, or other unspecified project",,Everything_else,,,,
Contraception/Reproduction,10739317.0,2024.0,NICHD,5F31HD104355-04,,Perceptions of Multipurpose Prevention Technologies Aimed at HIV/STI/unintended pregnancy among African-American Women in the Deep South,"TYMES-WILBEKIN, KRISTINA",UNIVERSITY OF ALABAMA AT BIRMINGHAM,AL,51974.0,Everything_else,"Clinical, intervention, care, or other unspecified project",,Everything_else,,,,
Contraception/Reproduction,10741767.0,2024.0,NHLBI,5R01HL156874-03,,Fatty acid oxidation in female cardioprotection,"SCOTT, IAIN",UNIVERSITY OF PITTSBURGH AT PITTSBURGH,PA,539826.0,Everything_else,"Clinical, intervention, care, or other unspecified project",,Everything_else,,,,
Contraception/Reproduction,10742930.0,2024.0,NIEHS,5R01ES032452-04,,Germline transmission of epigenetic alterations to offspring,"BHANDARI, RAMJI",UNIVERSITY OF MISSOURI-COLUMBIA,MO,345153.0,Mechanistic_Pathogenesis,Epigenetic mechanism study,,Mechanistic_and_Genetic,,,,
Contraception/Reproduction,10742950.0,2024.0,NIEHS,5K99ES034086-02,,"Triclosan, pubertal hormones, and the gut microbiome: implications for neurobehavior","LAUE, HANNAH",DARTMOUTH COLLEGE,NH,110245.0,Strictly_Environmental_or_Gene-Environment,Microbiome,Microbiome,Strictly_Environmental_or_Gene-Environment,,,,
Contraception/Reproduction,10742953.0,2024.0,NHLBI,5K08HL150340-05,,Novel role for placental endothelial mitochondria in preeclampsia,"MCINTOSH, JENNIFER",MEDICAL COLLEGE OF WISCONSIN,WI,150870.0,Everything_else,"Clinical, intervention, care, or other unspecified project",,Everything_else,,,,
Contraception/Reproduction,10744215.0,2024.0,NIGMS,5R01GM059354-21,,Regulation of Sister-Chromatid Cohesion in Meiosis,"BICKEL, SHARON",DARTMOUTH COLLEGE,NH,380916.0,Mechanistic_Pathogenesis,Regulation study,,Mechanistic_and_Genetic,,,,
Contraception/Reproduction,10744237.0,2024.0,NHLBI,5R01HL158100-03,,"Effect of reproductive history on longitudinal change in cardiac, vascular and lipid parameters","WOO, JESSICA",CINCINNATI CHILDRENS HOSP MED CTR,OH,683122.0,Everything_else,"Clinical, intervention, care, or other unspecified project",,Everything_else,,,,
Contraception/Reproduction,10744733.0,2024.0,NHLBI,5R01HL155265-04,,Mechanism of cardiovascular disease in premenopausal women,"BELIN DE CHANTEMELE, ERIC",AUGUSTA UNIVERSITY,GA,524875.0,Mechanistic_Pathogenesis,Mechanism study,,Mechanistic_and_Genetic,,,,
Contraception/Reproduction,10744765.0,2024.0,NIEHS,5R00ES030403-05,,"Nonpersistent chemical exposure, placental development, and maternal pre- and post-pregnancy cardiovascular health","KAHN, LINDA",NEW YORK UNIVERSITY SCHOOL OF MEDICINE,NY,248784.0,Strictly_Environmental_or_Gene-Environment,Environmental exposure,Chemicals,Strictly_Environmental_or_Gene-Environment,,,,
Contraception/Reproduction,10744771.0,2024.0,NHLBI,5R01HL146562-06,,Maternal vascular responses to extracellular mitochondrial DNA during pregnancy,"GOULOPOULOU, STYLIANI",LOMA LINDA UNIVERSITY,CA,506670.0,Everything_else,"Clinical, intervention, care, or other unspecified project",,Mechanistic_and_Genetic,Moved from Everything_else (matched: mitochondrial),,,
Contraception/Reproduction,10745335.0,2024.0,NICHD,5R01HD106056-03,,Search for new genes involved in male infertility through novel approaches,"GARCIA, THOMAS",BAYLOR COLLEGE OF MEDICINE,TX,540499.0,Everything_else,"Clinical, intervention, care, or other unspecified project",,Everything_else,,,,
Contraception/Reproduction,10745685.0,2024.0,NHLBI,5K01HL149977-05,,"Improving the Quality of Prenatal Care for Low-Income, Urban, Black Women","SMITH, SHARLA",UNIVERSITY OF KANSAS MEDICAL CENTER,KS,140413.0,Everything_else,"Clinical, intervention, care, or other unspecified project",,Everything_else,,,,
Contraception/Reproduction,10745710.0,2024.0,NIEHS,5R01ES030374-05,,Transgenerational consequences of pre-conceptional and in utero exposure to real-life chemical mixtures on fertility and metabolic health,"PADMANABHAN, VASANTHA",UNIVERSITY OF MICHIGAN AT ANN ARBOR,MI,439706.0,Strictly_Environmental_or_Gene-Environment,Environmental exposure,Chemicals,Strictly_Environmental_or_Gene-Environment,,,,
Contraception/Reproduction,10746002.0,2024.0,NICHD,5R21HD110734-02,,Mammalian Fertilization: Identifying the second sperm factor that induces residual calcium oscillations and its contributions to egg activation,"FISSORE, RAFAEL",UNIVERSITY OF MASSACHUSETTS AMHERST,MA,194801.0,Mechanistic_Pathogenesis,Sperm biology,,Mechanistic_and_Genetic,,,,
Contraception/Reproduction,10746135.0,2024.0,NIEHS,5R01ES034112-02,,Phthalate Exposure and Female Reproductive Aging,"FLAWS, JODI",UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN,IL,539974.0,Strictly_Environmental_or_Gene-Environment,Environmental exposure,Chemicals,Strictly_Environmental_or_Gene-Environment,,,,
Contraception/Reproduction,10746775.0,2024.0,NHLBI,5R01HL161514-03,,PRegnancy OuTcomEs and subclinical Cardiovascular disease sTudy: (PROTECT),"KHAN, SADIYA",NORTHWESTERN UNIVERSITY AT CHICAGO,IL,682885.0,Everything_else,"Clinical, intervention, care, or other unspecified project",,Everything_else,,,,
Contraception/Reproduction,10747298.0,2024.0,NIAID,5R01AI150191-05,,The IL-33/ILC2 axis in parturition,"ERLEBACHER, ADRIAN","UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",CA,640619.0,Everything_else,"Clinical, intervention, care, or other unspecified project",,Everything_else,,,,
Contraception/Reproduction,10747416.0,2024.0,NCI,5R01CA271104-02,,Evaluation of a telehealth oncofertility care intervention in adolescent and young adult cancer patients: a stepped wedge cluster randomized controlled trial,"SU, HUI-CHUN","UNIVERSITY OF CALIFORNIA, SAN DIEGO",CA,590153.0,Everything_else,Clinical trial,,Everything_else,,,,
Contraception/Reproduction,10747443.0,2024.0,NIEHS,5R21ES034966-02,,Developmental neuroendocrine toxicity targeting the kisspeptin pathway,"FREEMAN, JENNIFER",PURDUE UNIVERSITY,IN,187744.0,Mechanistic_Pathogenesis,Pathway study,,Mechanistic_and_Genetic,,,,
Contraception/Reproduction,10747795.0,2024.0,NICHD,1U54HD113030-01,9109.0,Developing Autonomy-Centered models of 4th Trimester and Interconception care: Project 2,"BARTLETT, STACY",UNIVERSITY OF PITTSBURGH AT PITTSBURGH,PA,865338.0,Everything_else,"Clinical, intervention, care, or other unspecified project",,Everything_else,,,,
Contraception/Reproduction,10747796.0,2024.0,NICHD,1U54HD113030-01,9110.0,Community and Stakeholder Partnerships,"HILL, ASHLEY",UNIVERSITY OF PITTSBURGH AT PITTSBURGH,PA,688110.0,Everything_else,Community-based study,,Everything_else,,,,
Contraception/Reproduction,10747797.0,2024.0,NICHD,1U54HD113030-01,9111.0,Training and Education,"HAGGERTY, CATHERINE",UNIVERSITY OF PITTSBURGH AT PITTSBURGH,PA,601200.0,Everything_else,Training program,,Everything_else,,,,
Contraception/Reproduction,10747853.0,2024.0,NIEHS,5R01ES031079-05,,Investigating Mixtures of Pollutants and Endometriosis in Tissue (IMPLANT) Study,"POLLACK, ANNA",GEORGE MASON UNIVERSITY,VA,257562.0,Strictly_Environmental_or_Gene-Environment,Pollution exposure,Chemicals,Strictly_Environmental_or_Gene-Environment,,,,
Contraception/Reproduction,10747868.0,2024.0,NIEHS,5R01ES031611-04,,Paternal DDT exposure and programming of metabolic dysfunction and cancer in offspring: Understanding the role of sperm mirnas and placenta development,"DE ASSIS, SONIA",GEORGETOWN UNIVERSITY,DC,517778.0,Mechanistic_Pathogenesis,Role/function study,,Mechanistic_and_Genetic,,,,
Contraception/Reproduction,10748387.0,2024.0,NICHD,5R03HD110785-02,,Regulation of sexually dimorphic piRNA pathways in heat-induced infertility,"KURHANEWICZ, NICOLE",UNIVERSITY OF OREGON,OR,73750.0,Mechanistic_Pathogenesis,Regulation study,,Mechanistic_and_Genetic,,,,
Contraception/Reproduction,10748388.0,2024.0,NHLBI,5R01HL167268-02,,Placental Organoids to Model Preeclampsia,"KARUMANCHI, S.",CEDARS-SINAI MEDICAL CENTER,CA,417500.0,Everything_else,"Clinical, intervention, care, or other unspecified project",,Everything_else,,,,
Contraception/Reproduction,10749875.0,2024.0,NIDDK,5R01DK128205-03,,Glycemic reduction approaches in polycystic ovary syndrome: a comparative effectiveness study,"SASLOW, LAURA",UNIVERSITY OF MICHIGAN AT ANN ARBOR,MI,597901.0,Everything_else,"Clinical, intervention, care, or other unspecified project",,Everything_else,,,,
Contraception/Reproduction,10750944.0,2024.0,NHLBI,5R01HL157160-03,,"The Role of Neighborhood Greenspace in reducing Risk of Hypertensive Disorders of Pregnancy, Chronic Hypertension, and Racial Disparities in Maternal Morbidity","SOUTH, EUGENIA",UNIVERSITY OF PENNSYLVANIA,PA,710556.0,Strictly_Environmental_or_Gene-Environment,Environmental exposure (greenspace),Other,Environmental,,Updated Environmental subgroup to Other,,
Contraception/Reproduction,10752633.0,2024.0,NIAID,5R01AI150358-05,,Next Generation Multipurpose Intravaginal Ring Technology Using Innovative CLIP 3D Printing,"BENHABBOUR, SOUMYA",UNIV OF NORTH CAROLINA CHAPEL HILL,NC,826557.0,Everything_else,"Clinical, intervention, care, or other unspecified project",,Everything_else,,,,
Contraception/Reproduction,10752714.0,2024.0,NICHD,5R13HD101248-06,,International Federation of Placenta Associations,"JONES, HELEN",UNIVERSITY OF FLORIDA,FL,10000.0,Mechanistic_Pathogenesis,Placental biology,,Mechanistic_and_Genetic,,,,
Contraception/Reproduction,10753525.0,2024.0,NHLBI,5R01HL148191-04,,Aspirin to prevent cardiac dysfunction in preeclampsia,"SHAHUL, SAJID",UNIVERSITY OF CHICAGO,IL,673264.0,Everything_else,"Clinical, intervention, care, or other unspecified project",,Everything_else,,,,
Contraception/Reproduction,10754270.0,2024.0,NIEHS,5R01ES034753-02,,Environmental Pollutants and AHR pathway in Uterine Leiomyoma,"BULUN, SERDAR",NORTHWESTERN UNIVERSITY AT CHICAGO,IL,602203.0,Mechanistic_Pathogenesis,Pathway study,,Mechanistic_and_Genetic,,,,
Contraception/Reproduction,10754582.0,2024.0,NHLBI,5R01HL136520-06,,Contribution of G protein coupled estrogen receptor to changes in hypothalamic plasticity and hypertension susceptibility in mice with accelerated ovarian failure,"MILNER, TERESA",WEILL MEDICAL COLL OF CORNELL UNIV,NY,713974.0,Mechanistic_Pathogenesis,Receptor study,,Mechanistic_and_Genetic,,,,
Contraception/Reproduction,10754946.0,2024.0,NICHD,5R01HD108639-02,,"Dissecting the function of Nemp1, a nuclear envelope protein critical for mammalian fertility","MCNEILL, HELEN",WASHINGTON UNIVERSITY,MO,559597.0,Mechanistic_Pathogenesis,Function study,,Mechanistic_and_Genetic,,,,
