Category,Appl_id,FY,Funding IC,Project Number,Sub Project #,Project Title,PI_Name,Org Name,State / Country,Amount,Tag,Reason,Environmental_Subgroup,Combined_Tag,Fix_Applied,UserFix_Applied,Clinical_Subcategory,Mechanistic_Subcategory
Liver Disease,10549839.0,2024.0,NIDDK,5R01DK124696-04,,"Intestinal Lipid Processing, Bile Acid Metabolism, and Pancreatic Islet Function","YEN, CHI- LIANG ERIC",UNIVERSITY OF WISCONSIN-MADISON,WI,366806.0,Mechanistic_Pathogenesis,Molecular/cellular mechanism study,,Mechanistic_and_Genetic,,,,
Liver Disease,10576264.0,2024.0,NIAID,5R01AI148049-24,,Human Genetic determinants of HBV recovery,"THOMAS, DAVID",JOHNS HOPKINS UNIVERSITY,MD,780411.0,Mechanistic_Pathogenesis,Molecular/cellular mechanism study,,Mechanistic_and_Genetic,,,,
Liver Disease,10598582.0,2024.0,NIDDK,5R01DK129252-03,,Paneth cells-derived IL-17A and liver ischemia reperfusion injury,"LEE, H. THOMAS",COLUMBIA UNIVERSITY HEALTH SCIENCES,NY,671949.0,Mechanistic_Pathogenesis,Molecular/cellular mechanism study,,Mechanistic_and_Genetic,,,,
Liver Disease,10612950.0,2024.0,NICHD,5R01HD102726-03,,Triglycerides as a Predictor of Newborn Subcutaneous and Liver Fat: Contributors to Fetal Fat Accretion in Obese Pregnancies,"BARBOUR, LINDA",UNIVERSITY OF COLORADO DENVER,CO,649276.0,Strictly_Environmental_or_Gene-Environment,Environmental exposure or lifestyle factor study,Diet_Obesity_Nutrition,Environmental,,Updated Environmental subgroup to Diet_Obesity_Nutrition,,
Liver Disease,10627839.0,2024.0,NIDA,5R01DA050470-04,,"A geospatial analysis of hotspots and targeted injection settings pilot intervention for HIV prevention among people who inject drugs in Baltimore, Maryland","LATKIN, CARL",JOHNS HOPKINS UNIVERSITY,MD,733662.0,Everything_else,Unclassified - defaulted to Everything_else,,Everything_else,,,,
Liver Disease,10630248.0,2024.0,NIDDK,5R01DK123205-04,,Disparities in the Diffusion of Direct-Acting Antiviral Therapy for Hepatitis C among Baby Boomers: A Mixed-Methods Study,"SHAPIRO, MARTIN",WEILL MEDICAL COLL OF CORNELL UNIV,NY,650167.0,Everything_else,Clinical/disparities/trial study,,Everything_else,,,,
Liver Disease,10631932.0,2024.0,NIDDK,5U01DK127995-03,,Pediatric Acute Liver Failure Immune Response Network (PALF IRN): Treatment for Immune Mediated Pathophysiology (TRIUMPH),"ALONSO, ESTELLA",LURIE CHILDREN'S HOSPITAL OF CHICAGO,IL,3678947.0,Mechanistic_Pathogenesis,Molecular/cellular mechanism study,,Mechanistic_and_Genetic,,,,
Liver Disease,10646188.0,2024.0,NCI,5F30CA250307-03,,Decoding the Tissue of Origin of Cellular Damage from Cell-free DNA in Liquid Biopsies,"BAREFOOT, MEGAN",GEORGETOWN UNIVERSITY,DC,53974.0,Mechanistic_Pathogenesis,Molecular/cellular mechanism study,,Mechanistic_and_Genetic,,,,
Liver Disease,10651715.0,2024.0,NIAID,5R01AI155140-04,,Cooperative mechanisms of HIV-enhanced liver fibrogenesis in HBV Coinfection,"CHUNG, RAYMOND",MASSACHUSETTS GENERAL HOSPITAL,MA,709110.0,Mechanistic_Pathogenesis,Molecular/cellular mechanism study,,Mechanistic_and_Genetic,,,,
Liver Disease,10652008.0,2024.0,NCI,4R37CA225807-06,,Pathogenic Role of Foxl1+ Hepatic Progenitor Cells in Fibrotic Liver Disease,"SHIN, SOONA",CINCINNATI CHILDRENS HOSP MED CTR,OH,359547.0,Mechanistic_Pathogenesis,Molecular/cellular mechanism study,,Mechanistic_and_Genetic,,,,
Liver Disease,10675427.0,2024.0,NCI,5R01CA233878-04,,Yittrium-90 radiation lobectomy: Dose optimization and prediction of FLR hypertrophy to enable resection of HCC,"LEWANDOWSKI, ROBERT",NORTHWESTERN UNIVERSITY AT CHICAGO,IL,564993.0,Mechanistic_Pathogenesis,Molecular/cellular mechanism study,,Mechanistic_and_Genetic,,,,
Liver Disease,10684350.0,2024.0,NIDA,4R37DA015612-21,,Making Better Decisions: Policy Modeling for AIDS and Drug Abuse,"OWENS, DOUGLAS",STANFORD UNIVERSITY,CA,759543.0,Mechanistic_Pathogenesis,Molecular/cellular mechanism study (reclassified),,Mechanistic_and_Genetic,,,,
Liver Disease,10687868.0,2024.0,NIAAA,5R01AA023190-10,,Mechanisms of Probiotics in Alcoholic Liver Disease,"FENG, WENKE",TULANE UNIVERSITY OF LOUISIANA,LA,427037.0,Strictly_Environmental_or_Gene-Environment,Alcohol exposure/phenotyping,Alcohol,Strictly_Environmental_or_Gene-Environment,,,,
Liver Disease,10690720.0,2024.0,NIDDK,5F32DK126289-03,,Effect of Arestin Domain-Containing 4 Protein on Glucose Metabolism,"DAGDEVIREN, SEZIN",HARVARD UNIVERSITY,MA,86932.0,Mechanistic_Pathogenesis,Molecular/cellular mechanism study,,Mechanistic_and_Genetic,,,,
Liver Disease,10692578.0,2024.0,NIDDK,5R01DK029953-42,,Mechanisms of Insulin Resistance in Man,"BASU, RITA",UNIVERSITY OF ALABAMA AT BIRMINGHAM,AL,597690.0,Mechanistic_Pathogenesis,Molecular/cellular mechanism study,,Mechanistic_and_Genetic,,,,
Liver Disease,10729853.0,2024.0,NIAID,5R01AI158666-03,,Computational modeling for HCV vaccine trial design and optimal vaccine-based combination interventions,"DAHARI, HAREL",LOYOLA UNIVERSITY CHICAGO,IL,695569.0,Mechanistic_Pathogenesis,Molecular/cellular mechanism study,,Mechanistic_and_Genetic,,,,
Liver Disease,10731735.0,2024.0,NIEHS,5R01ES031086-05,,Role of Base Excision Repair in Limiting Hepatocellular Carcinomas,"LLOYD, R.",OREGON HEALTH & SCIENCE UNIVERSITY,OR,357054.0,Mechanistic_Pathogenesis,Molecular/cellular mechanism study,,Mechanistic_and_Genetic,,,,
Liver Disease,10731746.0,2024.0,NIEHS,5R01ES032558-04,,Mechanisms of microcystin-induced hepatocellular carcinoma in nonalcoholic steatohepatitis,"CLARKE, JOHN",WASHINGTON STATE UNIVERSITY,WA,384492.0,Mechanistic_Pathogenesis,Studies mechanisms (not just exposure effects),,Mechanistic_and_Genetic,,,,
Liver Disease,10732732.0,2024.0,NCI,4R37CA234006-06,,Novel Nanomedicine-Based Therapeutic Approach For Treatment of Cancer Cachexia,"TARATULA, OLEH",OREGON STATE UNIVERSITY,OR,438608.0,Mechanistic_Pathogenesis,Molecular/cellular mechanism study,,Mechanistic_and_Genetic,,,,
Liver Disease,10733093.0,2024.0,NIEHS,1P01ES035542-01,7777.0,"Examining Linkages among Microcystins, Shellfish Contamination, and Toxin Transfer in Oysters and Blue Crabs across a Coastal North Carolina Sound","SCHNETZER, ASTRID",NORTH CAROLINA STATE UNIVERSITY RALEIGH,NC,181003.0,Strictly_Environmental_or_Gene-Environment,Environmental exposure or lifestyle factor study,Diet_Obesity_Nutrition,Strictly_Environmental_or_Gene-Environment,,,,
Liver Disease,10733094.0,2024.0,NIEHS,1P01ES035542-01,7778.0,Human Epidemiologic and Toxicity Assessment of Microcystin Mixture Effects on Hepatic Disease and Cancer,"SCHNETZER, ASTRID",NORTH CAROLINA STATE UNIVERSITY RALEIGH,NC,138147.0,Strictly_Environmental_or_Gene-Environment,Microcystin exposure epidemiology,Chemicals,Strictly_Environmental_or_Gene-Environment,,,,
Liver Disease,10733430.0,2024.0,NIAID,5R01AI150610-04,,Lead optimization of Hepatitis B Virus ribonuclease H inhibitors,"TAVIS, JOHN",SAINT LOUIS UNIVERSITY,MO,642207.0,Mechanistic_Pathogenesis,Molecular/cellular mechanism study,,Mechanistic_and_Genetic,,,,
Liver Disease,10733437.0,2024.0,NIBIB,5R01EB029750-04,,Engineering S. typhimurium for metastatic colorectal cancer,"DANINO, TAL",COLUMBIA UNIV NEW YORK MORNINGSIDE,NY,352142.0,Mechanistic_Pathogenesis,Molecular/cellular mechanism study,,Mechanistic_and_Genetic,,,,
Liver Disease,10734784.0,2024.0,NIAID,5R21AI173548-02,,Intracellular-acting antibodies for the prevention of malaria liver stage infection,"WILDER, BRANDON",OREGON HEALTH & SCIENCE UNIVERSITY,OR,154000.0,Mechanistic_Pathogenesis,Molecular/cellular mechanism study,,Mechanistic_and_Genetic,,,,
Liver Disease,10735800.0,2024.0,NIMHD,5R01MD017063-03,,Racial and Ethnic Disparities in Hepatocellular Carcinoma Surveillance Among Patients with Cirrhosis Across Five Safety Net Organizations,"WONG, ROBERT",PALO ALTO VETERANS INSTIT FOR RESEARCH,CA,633897.0,Everything_else,"Infrastructure, clinical, or epidemiological study",,Everything_else,,,,
Liver Disease,10735885.0,2024.0,NIAID,5R21AI171928-02,,A sequence-independent approach for attenuating hepaciviruses,"KAPOOR, AMIT",RESEARCH INST NATIONWIDE CHILDREN'S HOSP,OH,234000.0,Everything_else,Unclassified - defaulted to Everything_else,,Everything_else,,,,
Liver Disease,10738263.0,2024.0,NIAID,5UM1AI106701-11,,AIDS Clinical Trial Group Laboratory Center,"ALDROVANDI, GRACE",UNIVERSITY OF CALIFORNIA LOS ANGELES,CA,8402538.0,Everything_else,"Infrastructure, clinical, or epidemiological study",,Everything_else,,,,
Liver Disease,10738294.0,2024.0,NIMHD,5K01MD014761-05,,A gender and culturally specific approach to reduce NAFLD in Mexican American men,"GARCIA, DAVID",UNIVERSITY OF ARIZONA,AZ,133272.0,Mechanistic_Pathogenesis,Molecular/cellular mechanism study,,Mechanistic_and_Genetic,,,,
Liver Disease,10738295.0,2024.0,NCI,5R01CA197916-08,,Targeting the liver for immunotherapy in pancreatic cancer,"BEATTY, GREGORY",UNIVERSITY OF PENNSYLVANIA,PA,366641.0,Mechanistic_Pathogenesis,Molecular/cellular mechanism study,,Mechanistic_and_Genetic,,,,
Liver Disease,10738730.0,2024.0,NIDDK,5F31DK131859-02,,EphA2 in Non-Alcoholic Fatty Liver Disease,"PEARSON, BRENNA",LOUISIANA STATE UNIV HSC SHREVEPORT,LA,48974.0,Mechanistic_Pathogenesis,Studies mechanisms (not just exposure effects),,Mechanistic_and_Genetic,,,,
Liver Disease,10738780.0,2024.0,NIAID,5R21AI173729-02,,Explore hepatitis B virus preS2 mutants as immune escape mutants,"LI, JISU",RHODE ISLAND HOSPITAL,RI,205000.0,Mechanistic_Pathogenesis,Molecular/cellular mechanism study,,Mechanistic_and_Genetic,,,,
Liver Disease,10738796.0,2024.0,NIEHS,5R01ES033703-03,,Dissecting the Role of Arachidonic Acid Metabolic Pathways Involved in Resolution Versus Progression of PM-Induced Cardiometabolic Toxicity,"ARAUJO, JESUS",UNIVERSITY OF CALIFORNIA LOS ANGELES,CA,513320.0,Mechanistic_Pathogenesis,Molecular/cellular mechanism study,,Mechanistic_and_Genetic,,,,
Liver Disease,10739245.0,2024.0,NIAAA,2P50AA011999-26,8313.0,Southern California Research Center for ALPD and Cirrhosis,"TSUKAMOTO, HIDEKAZU",UNIVERSITY OF SOUTHERN CALIFORNIA,CA,445586.0,Mechanistic_Pathogenesis,Molecular/cellular mechanism study (reclassified),,Mechanistic_and_Genetic,,,,
Liver Disease,10739246.0,2024.0,NIAAA,2P50AA011999-26,8314.0,Southern California Research Center for ALPD and Cirrhosis,"TSUKAMOTO, HIDEKAZU",UNIVERSITY OF SOUTHERN CALIFORNIA,CA,148500.0,Mechanistic_Pathogenesis,Molecular/cellular mechanism study (reclassified),,Mechanistic_and_Genetic,,,,
Liver Disease,10739247.0,2024.0,NIAAA,2P50AA011999-26,8315.0,Southern California Research Center for ALPD and Cirrhosis,"TSUKAMOTO, HIDEKAZU",UNIVERSITY OF SOUTHERN CALIFORNIA,CA,430973.0,Mechanistic_Pathogenesis,Molecular/cellular mechanism study (reclassified),,Mechanistic_and_Genetic,,,,
Liver Disease,10739248.0,2024.0,NIAAA,2P50AA011999-26,8316.0,Southern California Research Center for ALPD and Cirrhosis,"SCHNABL, BERND",UNIVERSITY OF SOUTHERN CALIFORNIA,CA,186890.0,Mechanistic_Pathogenesis,Molecular/cellular mechanism study (reclassified),,Mechanistic_and_Genetic,,,,
Liver Disease,10739249.0,2024.0,NIAAA,2P50AA011999-26,8317.0,Southern California Research Center for ALPD and Cirrhosis,"MACHIDA, KEIGO",UNIVERSITY OF SOUTHERN CALIFORNIA,CA,191897.0,Mechanistic_Pathogenesis,Molecular/cellular mechanism study (reclassified),,Mechanistic_and_Genetic,,,,
Liver Disease,10739250.0,2024.0,NIAAA,2P50AA011999-26,8318.0,Southern California Research Center for ALPD and Cirrhosis,"KISSELEVA, TATIANA",UNIVERSITY OF SOUTHERN CALIFORNIA,CA,170640.0,Mechanistic_Pathogenesis,Molecular/cellular mechanism study (reclassified),,Mechanistic_and_Genetic,,,,
Liver Disease,10739251.0,2024.0,NIAAA,2P50AA011999-26,8319.0,Southern California Research Center for ALPD and Cirrhosis,"GUKOVSKAYA, ANNA",UNIVERSITY OF SOUTHERN CALIFORNIA,CA,152331.0,Mechanistic_Pathogenesis,Molecular/cellular mechanism study (reclassified),,Mechanistic_and_Genetic,,,,
Liver Disease,10740894.0,2024.0,NCI,5R01CA085862-23,,Adhesive regulation during cell migration,"HUTTENLOCHER, ANNA",UNIVERSITY OF WISCONSIN-MADISON,WI,344586.0,Mechanistic_Pathogenesis,Molecular/cellular mechanism study,,Mechanistic_and_Genetic,,,,
Liver Disease,10740908.0,2024.0,NCI,5R01CA245323-05,,Mechanisms and therapeutic targets of cancer metastasis,"BEATTY, GREGORY",UNIVERSITY OF PENNSYLVANIA,PA,353134.0,Mechanistic_Pathogenesis,Molecular/cellular mechanism study,,Mechanistic_and_Genetic,,,,
Liver Disease,10741123.0,2024.0,NIDA,5R01DA051302-05,,Estimating the population size of persons who inject drugs in New York,"BRADLEY, HEATHER",EMORY UNIVERSITY,GA,567383.0,Everything_else,Unclassified - defaulted to Everything_else,,Everything_else,,,,
Liver Disease,10741442.0,2024.0,NIAAA,2P50AA027054-06,8468.0,Administrative Core,"WARREN, DANIEL",JOHNS HOPKINS UNIVERSITY,MD,93093.0,Everything_else,"Infrastructure, clinical, or epidemiological study",,Everything_else,,,,
Liver Disease,10741443.0,2024.0,NIAAA,2P50AA027054-06,8469.0,Pathology Core,"ANDERS, ROBERT",JOHNS HOPKINS UNIVERSITY,MD,154586.0,Everything_else,"Infrastructure, clinical, or epidemiological study",,Everything_else,,,,
Liver Disease,10741444.0,2024.0,NIAAA,2P50AA027054-06,8470.0,Project 1-Cohort/Ethics Study of Patients withSevere Alcoholic Hepatitis undergoingEarly Liver Transplantation,"CAMERON, ANDREW",JOHNS HOPKINS UNIVERSITY,MD,268604.0,Everything_else,Clinical/care study (reclassified from Environmental),,Everything_else,,,,
Liver Disease,10741445.0,2024.0,NIAAA,2P50AA027054-06,8471.0,Project 2-Optimization of Post-Transplant care via Biomarkers and Behavioral Interventions,"CHEN, PO-HUNG (VICTOR)",JOHNS HOPKINS UNIVERSITY,MD,359527.0,Everything_else,"Infrastructure, clinical, or epidemiological study",,Everything_else,,,,
Liver Disease,10741446.0,2024.0,NIAAA,2P50AA027054-06,8472.0,Project 3-Characterizing the contribution ofautoantibodies to liver damage inalcoholic hepatitis,"ZHU, HENG",JOHNS HOPKINS UNIVERSITY,MD,381495.0,Mechanistic_Pathogenesis,Molecular/cellular mechanism study,,Mechanistic_and_Genetic,,,,
Liver Disease,10741447.0,2024.0,NIAAA,2P50AA027054-06,8473.0,Project 4-Early Liver Transplantation for SevereAlcoholic Hepatitis: Animal Studies,"SUN, ZHAOLI",JOHNS HOPKINS UNIVERSITY,MD,437511.0,Mechanistic_Pathogenesis,Animal model study of transplantation,,Mechanistic_and_Genetic,,,,
Liver Disease,10741762.0,2024.0,NIAID,5UM1AI069530-18,,The Johns Hopkins University - Uganda Clinical Trials Unit,"FOWLER, MARY",JOHNS HOPKINS UNIVERSITY,MD,1601637.0,Everything_else,"Infrastructure, clinical, or epidemiological study",,Everything_else,,,,
Liver Disease,10741786.0,2024.0,NIAID,5R01AI148362-05,,HBV RNaseH inhibitors: Effects on HBV biology and resistance development,"TAVIS, JOHN",SAINT LOUIS UNIVERSITY,MO,378750.0,Mechanistic_Pathogenesis,Molecular/cellular mechanism study,,Mechanistic_and_Genetic,,,,
Liver Disease,10742911.0,2024.0,NIAID,5UM1AI069399-18,,Thailand HIV/AIDS and Infectious Disease Clinical Trials Unit (THAI CTU),"SUPPARATPINYO, KHUANCHAI",CHIANG MAI UNIVERSITY,THAIL,1869140.0,Everything_else,"Infrastructure, clinical, or epidemiological study",,Everything_else,,,,
Liver Disease,10742915.0,2024.0,OD,5R01OD011095-31,,Modeling Viral and T Lymphocyte Dynamics,"PERELSON, ALAN","TRIAD NATIONAL SECURITY, LLC",NM,466632.0,Mechanistic_Pathogenesis,Molecular/cellular mechanism study,,Mechanistic_and_Genetic,,,,
Liver Disease,10742922.0,2024.0,NIAID,5UM1AI069476-17,,The FIOCRUZ Therapeutic and Prevention HIV/AIDS Clinical Trials Unit.,"GRINSZTEJN, BEATRIZ",FUNDACAO OSWALDO CRUZ,BRAZIL,1303154.0,Mechanistic_Pathogenesis,Molecular/cellular mechanism study (reclassified),,Everything_else,Moved from Mechanistic to Everything_else (infrastructure/core),,,
Liver Disease,10744736.0,2024.0,NCI,5R01CA258386-03,,Telomere dysfunction and telomerase reactivation in the etiology and progression of liver cancer,"BATISTA, LUIS",WASHINGTON UNIVERSITY,MO,342268.0,Mechanistic_Pathogenesis,Molecular/cellular mechanism study,,Mechanistic_and_Genetic,,,,
Liver Disease,10744755.0,2024.0,NCI,5R01CA239041-05,,Alpha-Particle Emitter Radiopharmaceutical Therapy for Liver Cancer,"NEDROW, JESSIE",UNIVERSITY OF PITTSBURGH AT PITTSBURGH,PA,574001.0,Mechanistic_Pathogenesis,Molecular/cellular mechanism study,,Mechanistic_and_Genetic,,,,
Liver Disease,10744803.0,2024.0,NCI,5P30CA014089-48,8684.0,Cancer Epidemiology,"SETIAWAN, VERONICA",UNIVERSITY OF SOUTHERN CALIFORNIA,CA,73302.0,Everything_else,"Infrastructure, clinical, or epidemiological study",,Everything_else,,,,
