Category,Appl_id,FY,Funding IC,Project Number,Sub Project #,Project Title,PI_Name,Org Name,State / Country,Amount,Tag,Reason,Environmental_Subgroup,Combined_Tag,Fix_Applied,UserFix_Applied,Clinical_Subcategory,Mechanistic_Subcategory
Lung Cancer,10542357,2024,NCI,5R01CA255326-03,,Early Detection and Diagnosis of Lung Cancer with Endomicroscopy,"SUTER, MELISSA",MASSACHUSETTS GENERAL HOSPITAL,MA,597127,Everything_else,"Clinical or therapeutic focus (therapy, trial, screening)",,Everything_else,,,,
Lung Cancer,10549858,2024,NCI,5K08CA256044-04,,The ontogeny and function of CD8 T cells in lung cancer,"SCHENKEL, JASON",UNIVERSITY OF TX MD ANDERSON CAN CTR,TX,208026,Mechanistic_Pathogenesis,Contains mechanistic or molecular/cellular biology terms,,Mechanistic_and_Genetic,,,,
Lung Cancer,10570549,2024,NCI,1K22CA276255-01,,Enhancing motivation to quit smoking via self-help intervention targeted to cancer type: A pilot RCT,"MARTINEZ PRADEDA, URSULA",UNIVERSITY OF UTAH,UT,194398,Strictly_Environmental_or_Gene-Environment,Contains environmental or lifestyle exposure terms,Smoking,Everything_else,Moved from Environmental to Everything_else (intervention study),,,
Lung Cancer,10571351,2024,NCI,1K22CA276357-01,,Targeted degradation of KRAS oncoproteins triggers antitumor immunity and abolishes lung tumor,"ZHANG, HUA",UNIVERSITY OF PITTSBURGH AT PITTSBURGH,PA,189756,Mechanistic_Pathogenesis,Contains mechanistic or molecular/cellular biology terms,,Mechanistic_and_Genetic,,,,
Lung Cancer,10594049,2024,NCI,5R01CA247917-03,,Platelet Serine/Threonine Phosphatases in Cancer Pathophysiology,"VIJAYAN, K. VINOD",BAYLOR COLLEGE OF MEDICINE,TX,399554,Mechanistic_Pathogenesis,Contains mechanistic or molecular/cellular biology terms,,Mechanistic_and_Genetic,,,,
Lung Cancer,10612793,2024,NCI,5R01CA239093-05,,Discovery and therapeutic targeting of biological determinants of lung cancer health disparities,"PINE, SHARON",UNIVERSITY OF COLORADO DENVER,CO,441169,Mechanistic_Pathogenesis,Biological determinants - molecular mechanism,,Mechanistic_and_Genetic,,,,
Lung Cancer,10629451,2024,NCI,5R01CA243142-05,,Regulation of tumor recurrence by stress activated neutrophils,"ZHANG, RUGANG",UNIVERSITY OF TX MD ANDERSON CAN CTR,TX,489730,Mechanistic_Pathogenesis,Immune signaling/tumor microenvironment mechanism,,Mechanistic_and_Genetic,,,,
Lung Cancer,10647438,2024,NCI,3F30CA254120-04S1,,Investigation of heterogeneity in cancer cell proliferation - COVID extension request,"TORBORG, STEFAN",WEILL MEDICAL COLL OF CORNELL UNIV,NY,32974,Mechanistic_Pathogenesis,Cancer cell proliferation heterogeneity mechanism,,Mechanistic_and_Genetic,,,,
Lung Cancer,10655276,2024,NCI,5R01CA256724-02,,The interplay of social and molecular determinants in lung cancer disparity,"SINGH, SHAILESH",MOREHOUSE SCHOOL OF MEDICINE,GA,559834,Mechanistic_Pathogenesis,Molecular determinants - mechanistic study,,Mechanistic_and_Genetic,,,,
Lung Cancer,10656275,2024,NCI,5R01CA255226-04,,Imaging the multifaceted response to a bispecific antibody therapy,"MARQUEZ-NOSTRA, BERNADETTE",UNIVERSITY OF ALABAMA AT BIRMINGHAM,AL,29864,Everything_else,"Clinical or therapeutic focus (therapy, trial, screening)",,Mechanistic_and_Genetic,Moved from Everything_else (matched: antibody),,,
Lung Cancer,10656497,2024,NCI,5R01CA254734-03,,Precision Lung Cancer Survivorship Care Intervention: A Randomized Controlled Trial Serving Rural Survivors and Communities,"STUDTS, JAMIE",UNIVERSITY OF COLORADO DENVER,CO,571997,Everything_else,"Clinical or therapeutic focus (therapy, trial, screening)",,Everything_else,,,,
