Category,Appl_id,FY,Funding IC,Project Number,Sub Project #,Project Title,PI_Name,Org Name,State / Country,Amount,Tag,Reason,Environmental_Subgroup,Combined_Tag,Fix_Applied,UserFix_Applied,Clinical_Subcategory,Mechanistic_Subcategory
Parkinson's Disease,10226297,2023,NINDS,5U01NS113851-03,,Study in Parkinson Disease of Exercise Phase 3 Clinical Trial: SPARX3,"CORCOS, DANIEL",NORTHWESTERN UNIVERSITY AT CHICAGO,IL,7226355,Everything_else,Clinical or unspecified,,Everything_else,,,,
Parkinson's Disease,10334453,2023,NINDS,5R01NS119520-03,,Biophysical Characterization of Subthalamic Local Field Potentials in Parkinson's Disease,"MCINTYRE, CAMERON",DUKE UNIVERSITY,NC,458080,Everything_else,Clinical or unspecified,,Everything_else,,,,
Parkinson's Disease,10513821,2023,NINDS,5F32NS124826-02,,"Parkinson's and Prokaryotes: roles of bacteria, gut permeability, innate immunity, and genetics in C. elegans dopaminergic neurodegeneration","REDWEIK, GRAHAM",UNIVERSITY OF COLORADO,CO,69080,Strictly_Environmental_or_Gene-Environment,Microbiome/gut study moved to Environmental,Microbiome,Environmental,,Updated Environmental subgroup to Microbiome,,
Parkinson's Disease,10530584,2023,NIDCD,5R01DC018584-03,,Preclinical trial for dysarthria treatment in Parkinson disease,"CIUCCI, MICHELLE",UNIVERSITY OF WISCONSIN-MADISON,WI,653455,Everything_else,Clinical or unspecified,,Everything_else,,,,
Parkinson's Disease,10530631,2023,NIA,5F30AG067651-03,,"The Striatum and Hippocampus: ""Hubs"" of White Matter Connections in Parkinson's Disease Cognitive Decline","BROWN, GREGORY",PENNSYLVANIA STATE UNIV HERSHEY MED CTR,PA,52694,Everything_else,Clinical or unspecified,,Everything_else,,,,
Parkinson's Disease,10531913,2023,NINDS,5R01NS122226-02,,Interrogating Maladaptive Serotonin Raphe-Striatal Plasticity in L-DOPA-Induced Dyskinesia,"BISHOP, CHRISTOPHER","STATE UNIVERSITY OF NY,BINGHAMTON",NY,651165,Mechanistic_Pathogenesis,Studying serotonin plasticity mechanism,,Mechanistic_and_Genetic,,,,
Parkinson's Disease,10532176,2023,NINDS,5R01NS099623-07,,Mouse model studies of TMEM230-linked Parkinson's disease,"DENG, HAN-XIANG",NORTHWESTERN UNIVERSITY AT CHICAGO,IL,500086,Mechanistic_Pathogenesis,TMEM230 protein functional study,,Mechanistic_and_Genetic,,,,
Parkinson's Disease,10532769,2023,NIA,5R01AG062222-05,,ProSAAS-mediated neuroprotective mechanisms in Alzheimer's and Parkinson's diseases: the role of secretory chaperones in neurodegeneration,"LINDBERG, IRIS",UNIVERSITY OF MARYLAND BALTIMORE,MD,633662,Mechanistic_Pathogenesis,Mechanistic terms present,,Mechanistic_and_Genetic,,,,
Parkinson's Disease,10533811,2023,NINDS,5R01NS112506-04,,Molecular regulation of LRRK2 in Parkinson's disease,"XIONG, YULAN",UNIVERSITY OF CONNECTICUT SCH OF MED/DNT,CT,358750,Mechanistic_Pathogenesis,Mechanistic terms present,,Mechanistic_and_Genetic,,,,
Parkinson's Disease,10534166,2023,NINDS,5R01NS119897-03,,Investigating the role of lipid metabolism in protein aggregation and neurodegenerative disease progression,"DAVIS, MARIE",SEATTLE INST FOR BIOMEDICAL/CLINICAL RES,WA,416660,Mechanistic_Pathogenesis,Mechanistic terms present,,Mechanistic_and_Genetic,,,,
Parkinson's Disease,10534194,2023,NIA,5R01NS088322-08,,Propagation of Lewy pathology in Parkinson's and related disorders,"LUK, KELVIN",UNIVERSITY OF PENNSYLVANIA,PA,81440,Mechanistic_Pathogenesis,Studying Lewy pathology propagation mechanism,,Mechanistic_and_Genetic,,,,
Parkinson's Disease,10534194,2023,NINDS,5R01NS088322-08,,Propagation of Lewy pathology in Parkinson's and related disorders,"LUK, KELVIN",UNIVERSITY OF PENNSYLVANIA,PA,383939,Mechanistic_Pathogenesis,Studying Lewy pathology propagation mechanism,,Mechanistic_and_Genetic,,,,
Parkinson's Disease,10534663,2023,NINDS,5R01NS108968-05,,Direct CNS Delivery System for BDNF AntagoNATs using Heterotopic Mucosal Grafting for the Treatment of Parkinson's Disease,"BLEIER, BENJAMIN",MASSACHUSETTS EYE AND EAR INFIRMARY,MA,504376,Mechanistic_Pathogenesis,Mechanistic terms present,,Mechanistic_and_Genetic,,,,
Parkinson's Disease,10534730,2023,NINDS,5R01NS120489-03,,LRRK2 Enzymatic Mechanisms of Neurodegeneration in Parkinson's Disease,"MOORE, DARREN",VAN ANDEL RESEARCH INSTITUTE,MI,475000,Mechanistic_Pathogenesis,Mechanistic terms present,,Mechanistic_and_Genetic,,,,
Parkinson's Disease,10536684,2023,NINDS,5K99NS125131-02,,Determining the Role of Distinct Parafascicular Thalamic Circuits in Motor Behaviors Relevant to Parkinson’s Disease,"ROY, DHEERAJ","BROAD INSTITUTE, INC.",MA,108316,Mechanistic_Pathogenesis,"""Role of"" thalamic circuits = mechanistic",,Mechanistic_and_Genetic,,,,
Parkinson's Disease,10539276,2023,NINDS,5R01NS114656-04,,Superoxide-sensitive radiotracer as a predictive biomarker of Parkinson's disease progression,"MCMANUS, MEAGAN",CHILDREN'S HOSP OF PHILADELPHIA,PA,521995,Everything_else,Clinical or unspecified,,Everything_else,,,,
Parkinson's Disease,10540378,2023,NIEHS,5R01ES023839-08,,Vesicular modulation of dopamine neuron toxicity,"MILLER, GARY",COLUMBIA UNIVERSITY HEALTH SCIENCES,NY,471551,Mechanistic_Pathogenesis,Mechanistic terms present,,Mechanistic_and_Genetic,,,,
Parkinson's Disease,10541109,2023,NIBIB,5R01EB029338-04,,A theranostic system for ultrasound-facilitated blood-brain barrier opening,"KONOFAGOU, ELISA",COLUMBIA UNIVERSITY HEALTH SCIENCES,NY,591469,Mechanistic_Pathogenesis,Mechanistic terms present,,Mechanistic_and_Genetic,,,,
Parkinson's Disease,10543471,2023,NINDS,5R01NS125143-02,,Optimizing Patient-Specific Deep Brain Stimulation Models Using Electrophysiology,"MIOCINOVIC, SVJETLANA",EMORY UNIVERSITY,GA,510520,Everything_else,Clinical or unspecified,,Everything_else,,,,
Parkinson's Disease,10543831,2023,NINDS,5R01NS124575-02,,Multi-scale functional connectivity in preclinical models of Parkinson's disease,"STOKES, ASHLEY",ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER,AZ,399380,Everything_else,Clinical or unspecified,,Everything_else,,,,
Parkinson's Disease,10544119,2023,NINDS,5U01NS109463-04,,Parkinsons Disease Scalable iPSC Autologous Cell Therapy,"HALLETT, PENELOPE",MCLEAN HOSPITAL,MA,1961294,Everything_else,Clinical or unspecified,,Everything_else,,,,
