id,category,confidence,method,directorate,title,abstract
2203110,ENV,0.95,haiku,MPS,2022 GRC on Granular Matter: Particulate Systems Across Scales: From Colloidal Science to Geophysical Flows,"This grant provides funding to partially support graduate students, post-docs, and under-represented and female early faculty to attend and present at the symposium on Quantum and Topological materials at the 2022 Granular Matter Gordon Research Conference (GRC) and Gordon Research Seminar (GRS); St"
2224177,ENV,0.95,haiku,GEO,"2022 Gordon Research Conference on Ocean Mixing: The Impact of Ocean Mixing on the Earth, Ocean and Atmosphere Systems, Climate and Society","This project provides partial support for the 2022 Gordon Research Conference and Gordon Research Seminar on Ocean Mixing. Turbulent mixing results from complex and chaotic motions that span a large range of spatial and temporal scales. As such, it is particularly challenging to measure and model, y"
2246411,ENV,0.7,keyword,ENG,"2023 Water Disinfection, Byproducts, and Health: Challenges of Disinfection and Oxidation Processes to Provide Safe Drinking Water in a Changing World","This NSF award will partially support the 2023 Gordon Research Conference (GRC) and Seminar on “Water Disinfection, Byproducts, and Health” that will be held at Mount Holyoke College in July 29-Aug 4, 2023.  The GRC and seminar will discuss the latest advances in drinking water disinfection research"
2221709,ENV,0.95,haiku,GEO,AMS Community Synthesis for Convergence of Health and the Geosciences,"Due to climate change and the increasing concentration of human beings, human health is becoming increasing impacted by environmental changes such as extreme heat and cold snaps, flooding, wildfires, the northward migration of tropical insect-borne diseases, the urban heat island effect, the increas"
2147718,ENV,0.95,haiku,GEO,"Acquisition of a Tabletop Scanning Electron Microscope and Energy Dispersive Spectrometer by the Earth Science Department at Vassar College, a PUI","Acquisition of a Tabletop Scanning Electron Microscope (SEM) with an Energy Dispersive X-Ray Spectrometer (EDS) for research, teaching, and public outreach has been granted to the Vassar College Earth Science Department. Scanning Electron Microscopes are powerful instruments used for imaging natural"
2138057,ENV,0.95,haiku,GEO,Acquisition of a pXRF and pLIBS Instrument Suite for Geochemistry Research in the Urban Environment,"Portable X-ray fluorescence (pXRF) and portable laser induced breakdown spectroscopy (pLIBS) instruments will be used in Geochemistry research to determine the elemental compositions of soils, sediments, and other environmental media in natural, urban, and human-impacted environments. Rutgers Univer"
2217870,ENV,0.7,keyword,BIO,BRC-BIO: The effects of nanoparticle matter in air pollution on a sentinel species: House sparrows as the new Canary in the Coalmine,"The rise of anthropogenic activities and their associated environmental pollutants are now considered a major contributor to population declines in wild species. As of 2020, the world had lost an estimated two-thirds of its animal populations, constituting a sixth global mass extinction event. Despi"
2217429,ENV,0.9,keyword,BIO,BRC-BIO: Toxicity in the city: the cumulative effects of heavy metals on the behavior and physiology of urban-adapted birds,"Urbanization is increasing globally, and one of the major ways in which humans are altering the environment is through increased pollution. Heavy metals are one type of pollutant that is known to cause harm to organisms, including humans. For example, heavy metals—which include elements like lead, m"
2334976,ENV,0.9,keyword,BIO,BRC-BIO: Undergraduate Researchers Investigating the Biological Effects of Environmental Microplastics,"Humans are influencing the environments in which animals live in many respects. As we are facing a major biodiversity crisis, understanding the effects of human induced environmental change is increasingly important. One such change which is particularly widespread is the presence of microplastics i"
2343831,ENV,0.9,keyword,BIO,Building Synthetic Biofilm Consortia for Polyfluorinated Chemicals Biodegradation,"Microorganisms naturally occur in communities known as biofilms and natural biofilms are widely used for the treatment wastewater. For example, natural biofilms are used to remove nitrate from wastewater. The long-term goal of this project is to design biofilms that can efficiently degrade polyfluor"
2420817,ENV,0.7,keyword,GEO,C2H2 RCN: Water Security and Health of Private Well Users in the Gulf Coast,"Clean and sustainable water is necessary for good health. About 40 million people in the United States rely on private well water for drinking and household uses. Often, this water is not monitored or treated like water distributed through public supply systems leaving private well users at an incre"
2237550,ENV,0.9,keyword,ENG,"CAREER:  Particle dynamics at the free surface: waves, turbulence, and microplastics","Plastic pollution is a ubiquitous issue impacting the health of marine ecosystems worldwide. Yet, critical knowledge gaps surrounding the fate and transport of plastic once it enters the ocean impede remediation and prevention efforts. Predicting transport is difficult for any particle in the ocean,"
2331082,ENV,0.9,keyword,ENG,CAREER: 3D Printed Carbon-Metal Nanohybrid Aerogels for Highly Efficient Adsorptive/Catalytic Removal of PFASs,"Per- and polyfluoroalkyl substances (PFAS) are fluorinated organic chemicals that have been manufactured and used in numerous consumer products and industrial applications since the 1940s. During the last two decades, increasing detection of PFAS in surface water, groundwater, soils, sludges, and bi"
2238995,ENV,0.95,haiku,ENG,CAREER: A portable nanosensor for ultrasensitive optical detection of airborne agents,"Ultrasensitive platforms that can be deployed in real-world situations to detect hundreds of molecules at once are central to environmental sustainability, forensic analysis, and human health. Current approaches to detect such molecules, known as volatile organic compounds (VOCs), are largely limite"
2144290,ENV,0.95,haiku,CSE,CAREER: A scalable multiscale modeling framework to explore soot formation in reacting flows,"This award is funded in whole or in part under the American Rescue Plan Act of 2021 (Public Law 117-2).

Soot, a carbonaceous particulate matter formed during incomplete combustion, has significant adverse effects on public health and welfare and is an important forcing agent in climate change. To"
2443817,ENV,0.9,keyword,GEO,CAREER: Advancing Understanding of Atmospheric Micro- and Nanoplastic Particles: From Chemical Characterization to Climate Impacts,"This CAREER project seeks to provide a comprehensive understanding of the sources, spatial concentrations, chemical processes, and climate impacts of micro- and nano- plastic particles in the atmosphere. Atmospheric micro- and nano- plastic particles contribute significantly to the mass of marine an"
2305189,ENV,0.95,haiku,ENG,"CAREER: An Investigation of Microplastics Fate and Contaminant Transport in Storm Runoff, The Nexus of Environmental Engineering and Material Sciences",The use of plastics in consumer products and materials results in the release of small particles of plastic known as “microplastics” that can pollute the environment. These microplastics are persistent in the environment and will typically take hundreds of years to decompose completely. Microplastic
2146461,ENV,0.95,haiku,CSE,CAREER: Body Modification Technologies,This award is funded in part under the American Rescue Plan Act of 2021 (Public Law 117-2). This project investigates Body Modification Technologies: wearable devices for biosensing through novel form factors with embedded biosensors that interact with body fluids. Current practices for body modific
2339462,ENV,0.7,keyword,ENG,CAREER: CAS- Climate -- Air-quality-related environmental justice impacts of decarbonization scenarios,The U.S. and other nations are at the beginning of a major technological shift from a fossil fuel-based economy to one driven by non-climate-forcing energy generation. The speed and success of this technology shift (“decarbonization”) depend in part upon whether it is perceived to be implemented equ
2239834,ENV,0.95,haiku,ENG,CAREER: CAS-Climate: Neighborhood-scale Assessment of the Air Quality Co-Benefits and Tradeoffs of Transportation Electrification,"In the face of climate change, one target is to transition combustion-powered sectors (such as internal combustion vehicles) into technologies powered by electricity. The strategy is that the electric grid – currently comprised of a mix of combustion, renewable, and nuclear generation units – will b"
2143145,ENV,0.95,haiku,ENG,CAREER: Coupled Phenomena Resilience and Dynamics in Bentonite Barriers,"This Faculty Early Career Development (CAREER) award will address national and global challenges of water security, environmental protection, and preparation of future STEM professionals. The research focuses on transforming how we measure, predict, and educate others about the long-term performance"
2340588,ENV,0.9,keyword,GEO,CAREER: Determining the mechanism and significance of microplastic pollution impacts on soil hydrology,"Microplastics, ranging from 0.001 to 5 mm in size, originate from various sources such as detergents, cosmetics, and the breakdown of larger items like films, fabrics, and vehicle tires. There is extensive evidence that microplastic pollution has been occurring in terrestrial environments for decade"
2220792,ENV,0.95,haiku,ENG,CAREER: Developing a Spatial-Temporal Predictive Framework for the Drinking Water Microbiome.,Every gallon of drinking water contains millions of microbes that are referred to as the drinking water microbiome. Water utilities perform extensive monitoring in the water distribution system to ensure that the drinking water microbiome remains safe as it travels from the water treatment plant to 
2237291,ENV,0.95,haiku,MPS,CAREER: Development of a Measurement System to Quantify Natural and Anthropogenic Metal-Containing Nanoparticles in Environmental Samples,"With support from the Chemical Measurement and Imaging Program in the Division of Chemistry, Alexander Gundlach-Graham and his research group at Iowa State University are working to improve the detection and quantification of anthropogenic nanoparticles and microparticles in environmental samples.  "
2339617,ENV,0.9,keyword,ENG,CAREER: Development of novel biocatalyst for consolidated bioprocessing of plastic (CBPP),"Over 20 million tons of plastic entered the environment last year. This represents a large amount of carbon that could otherwise be used productively. It also represents a large source of microplastics, which harm human health. This project is focused on a novel microorganism capable of deconstructi"
2320966,ENV,0.9,keyword,ENG,CAREER: ERASE-PFAS: Mechanistic Investigation of Thermal Decomposition of Poly- and Perfluoroalkyl Substances in the Soil Environment,"The contamination of soil and water by per- and polyfluoroalkyl substances (PFAS) is a national concern. Certain PFAS chemicals have been detected in the blood of more than 95% of the US population. Soil largely contributes to the quality of groundwater and crops, which are potential human exposure "
2144896,ENV,0.95,haiku,GEO,CAREER: Emissions and Chemical Impacts of Atmospheric Volatile Organic Compounds (VOCs) from Western United States Wildfires,This CAREER project will improve knowledge about the sources and atmospheric impacts of volatile organic compounds (VOCs) from western U.S. wildfires. Biomass burning is estimated to be the second-largest primary sources of VOCs globally. VOCs play a key role in the atmosphere as precursors of ozone
2144550,ENV,0.9,keyword,ENG,CAREER: Establishing a Knowledge Base for Use and Discharge of Poly- and Perfluoroalkyl Substances,"Per- and polyfluoroalkyl substances (PFAS) are fluorinated organic chemicals that have been used in numerous consumer products and industrial applications since the 1940s. PFAS are one of the most stable chemicals ever produced. During the last two decades, increasing detection of PFAS in environmen"
2235308,ENV,0.95,haiku,GEO,CAREER: Hydrogeologic implications of permafrost thaw - Developing a process-based understanding of biophysical controls and educational tools for rural communities,"Increasing air temperatures in the Arctic are causing frozen ground known as permafrost to thaw. As permafrost thaws, liquid water can more easily travel below ground, increasing fresh groundwater availability. For the millions of people who live above permafrost, increase groundwater availability i"
2141991,ENV,0.95,haiku,GEO,CAREER: Impacts of Incorporated Metals on Dissolution Rates of Minerals,"Certain toxic and radioactive metals, such as lead and radioactive strontium, can cause environmental and health concerns when they are dissolved in surface waters or groundwater. One way to remove or prevent them from entering the environment is to incorporate them into solid minerals, where they c"
2145214,ENV,0.95,haiku,ENG,CAREER: Impacts of Lake Browning on the Photochemical Fate of Organic Micropollutants,"Lakes are key natural water systems that provide critical services to people and ecosystems including the supply of drinking water, fishing, recreational activities, and climate regulation. Long-term water quality trends in lakes often serve as indicators of local, regional, or global environmental "
2239408,ENV,0.9,keyword,ENG,CAREER: Manufacturing of Mesoporous Carbons by Direct Pyrolysis of Plastic Waste for Water Remediation,This Faculty Early Career Development (CAREER) grant focuses on developing a direct pyrolysis approach for scalable manufacturing of ordered mesoporous carbons and unlocking their potential for water remediation. Ordered mesoporous carbons are a result of advancements in nanotechnology and nanomanuf
2338221,ENV,0.9,keyword,ENG,"CAREER: Marine Debris at Coastlines: predicting sources from drift, dispersion, and beaching via experiments and multiscale stochastic models","Floating marine debris in oceans and lakes across a range of sizes from microplastics to larger debris is a pressing global issue with inputs projected to increase in the coming years and decades. Often, the worst impacts of marine debris pollution are at coastlines, where economies and ecosystems a"
2145532,ENV,0.95,haiku,ENG,"CAREER: Micro- and Nanoplastics in Sea Spray: Emission, Transport, and Deposition in the Environment",Micro- and nanoplastics (MNPs) have become pervasive pollutants throughout the world. MNPs have been found virtually in all ecosystems and environmental media. They can be easily ingested by living organisms and pose new risks to human and ecosystem health as they enter the food chain. Every year mi
2143776,ENV,0.95,haiku,BIO,"CAREER: Microcaddisflies, Morphology, and Modern Molecular Methods: Using Collections-Based Research to Establish the Microcaddisfly Phylogeny and Create Educational Opportunities","Caddisflies (Trichoptera) are an ecologically-important order of aquatic insects that contribute to the processing of nutrients and the flow of energy through food webs in freshwater habitats. Due to their varying levels of tolerance to pollution and disturbance, caddisflies are also one of the prim"
2145137,ENV,0.85,haiku,ENG,"CAREER: Pathways of Microplastics Creation: Multi-physics Study of Macroplastic Fragmentation, Foliation, and Fibration",This Faculty Early Career Development (CAREER) grant supports research to understand the degradation mechanisms of macroplastics into microplastics under coupled effects of weathering and mechanical stresses. It is well-established that microplastics exist in our oceans in ever-increasing numbers an
2237080,ENV,0.95,haiku,ENG,CAREER: Piezoelectric Mechanocatalytic Destruction of PFAS in Solid Matrices at Ambient Conditions: An Integrated Research and Education Plan,"Per-and polyfluoroalkyl substances (PFAS) are synthetic chemicals that have been manufactured and used in numerous consumer products and industrial applications since the 1940s. PFAS are among the most stable chemicals ever produced. During the last two decades, increasing detection of PFAS in vario"
